"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Plppr2","0.998","-2.733","1.394","-2.367"
"Dcps","0.998","-2.733","1.394","-2.367"
"Fxyd6","0.998","-2.733","1.394","-2.367"
"Nnmt","0.998","-2.733","1.394","-2.367"
"Cryab","0.998","-2.733","1.394","-2.367"
"Lysmd2","0.998","-2.733","1.394","-2.367"
"Slc26a6","0.998","-2.733","1.394","-2.367"
"Nme6","0.998","-2.733","1.394","-2.367"
"Themis","0.998","-2.733","1.394","-2.367"
"Hddc2","0.998","-2.733","1.394","-2.367"
"Lif","0.998","-2.733","1.394","-2.367"
"Emid1","0.998","-2.733","1.394","-2.367"
"Nacad","0.998","-2.733","1.394","-2.367"
"Lcp2","0.998","-2.733","1.394","-2.367"
"Sgcd","0.998","-2.733","1.394","-2.367"
"Myocd","0.998","-2.733","1.394","-2.367"
"Ovca2","0.998","-2.733","1.394","-2.367"
"Mrc2","0.998","-2.733","1.394","-2.367"
"Mcrip1","0.998","-2.733","1.394","-2.367"
"Dnaaf2","0.998","-2.733","1.394","-2.367"
"Fntb","0.998","-2.733","1.394","-2.367"
"Smoc1","0.998","-2.733","1.394","-2.367"
"Ttc7b","0.998","-2.733","1.394","-2.367"
"Gpr132","0.998","-2.733","1.394","-2.367"
"Sp4","0.998","-2.733","1.394","-2.367"
"Akr1c14","0.998","-2.733","1.394","-2.367"
"Akr1e1","0.998","-2.733","1.394","-2.367"
"Naip5","0.998","-2.733","1.394","-2.367"
"Rnase1","0.998","-2.733","1.394","-2.367"
"Cdh24","0.998","-2.733","1.394","-2.367"
"Dach1","0.998","-2.733","1.394","-2.367"
"Nadk2","0.998","-2.733","1.394","-2.367"
"Pkhd1l1","0.998","-2.733","1.394","-2.367"
"Kdelr3","0.998","-2.733","1.394","-2.367"
"Shank3","0.998","-2.733","1.394","-2.367"
"Kif21a","0.998","-2.733","1.394","-2.367"
"Pou6f1","0.998","-2.733","1.394","-2.367"
"Yars2","0.998","-2.733","1.394","-2.367"
"Hcls1","0.998","-2.733","1.394","-2.367"
"Npw","0.998","-2.733","1.394","-2.367"
"Ubd","0.998","-2.733","1.394","-2.367"
"Ptk7","0.998","-2.733","1.394","-2.367"
"Grp","0.998","-2.733","1.394","-2.367"
"Pacs1","0.998","-2.733","1.394","-2.367"
"Twnk","0.998","-2.733","1.394","-2.367"
"Srpx","0.998","-2.733","1.394","-2.367"
"Sept6","0.998","-2.733","1.394","-2.367"
"Plxna3","0.998","-2.733","1.394","-2.367"
"Chic1","0.998","-2.733","1.394","-2.367"
"Sfxn5","0.998","-2.718","2.345","-3.794"
"Tmprss11e","0.998","2.712","2.858","2.569"
"Pik3r5","0.998","2.712","2.858","2.569"
"H2-T23","0.998","-2.704","3.530","-2.089"
"Smyd2","0.998","-2.700","2.019","-3.305"
"Tshz2","0.998","-2.700","2.019","-3.305"
"Gper1","0.998","-2.700","2.019","-3.305"
"Asf1a","0.998","-2.700","2.019","-3.305"
"D10Wsu102e","0.998","-2.700","2.019","-3.305"
"Pigw","0.998","-2.700","2.019","-3.305"
"Heg1","0.998","-2.700","2.019","-3.305"
"Sh3kbp1","0.998","-2.691","4.322","-2.549"
"Ankrd13b","0.998","2.687","3.156","2.122"
"Vasn","0.998","2.687","3.156","2.122"
"Ppp1r15a","0.998","2.683","5.365","2.259"
"Nlrc5","0.998","-2.666","4.855","-2.804"
"Trim21","0.998","-2.665","3.511","-2.060"
"Cadm4","0.998","2.639","3.405","2.048"
"Eva1c","0.998","2.630","3.319","2.032"
"Impact","0.998","2.630","3.319","2.032"
"Lrmp","0.998","2.628","2.942","2.277"
"Suclg2","0.998","-2.623","3.491","-2.030"
"Rnf31","0.998","-2.617","5.412","-2.022"
"Gtf3c4","0.998","-2.609","3.224","-2.736"
"Ccdc22","0.998","2.607","3.038","2.132"
"Rap2c","0.998","-2.605","4.865","-2.024"
