"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Smo","0.876","2.232","3.014","2.089"
"Gpr19","0.876","2.232","3.014","2.089"
"Zfp146","0.876","2.232","3.014","2.089"
"Pomk","0.876","2.232","3.014","2.089"
"Ilf3","0.876","2.232","3.014","2.089"
"Oit3","0.876","2.232","3.014","2.089"
"Nudcd1","0.876","2.232","3.014","2.089"
"Tfap4","0.876","2.232","3.014","2.089"
"Zfp213","0.876","2.232","3.014","2.089"
"Supt3","0.876","2.232","3.014","2.089"
"Chaf1a","0.876","2.232","3.014","2.089"
"Tslp","0.876","2.232","3.014","2.089"
"Iigp1","0.876","2.232","3.014","2.089"
"Rab3il1","0.876","2.232","3.014","2.089"
"Tkfc","0.876","2.232","3.014","2.089"
"Pcsk5","0.876","2.232","3.014","2.089"
"Plekhs1","0.876","2.232","3.014","2.089"
"Nyx","0.876","2.232","3.014","2.089"
"Alg13","0.876","2.232","3.014","2.089"
"Tpm4","0.876","-2.226","6.436","-2.142"
"Cep290","0.876","2.225","4.380","2.418"
"Jund","0.876","-2.225","10.735","-2.102"
"Ppil3","0.876","2.223","3.685","2.332"
"Rars2","0.876","2.223","3.685","2.332"
"Xpo5","0.876","2.223","3.685","2.332"
"Elac1","0.876","2.223","3.685","2.332"
"Jph1","0.876","2.222","2.100","3.069"
"Pms1","0.876","2.222","2.100","3.069"
"Tm4sf20","0.876","2.222","2.100","3.069"
"Gal3st2","0.876","2.222","2.100","3.069"
"Rasal2","0.876","2.222","2.100","3.069"
"Fcgr3","0.876","2.222","2.100","3.069"
"Sccpdh","0.876","2.222","2.100","3.069"
"Nek2","0.876","2.222","2.100","3.069"
"Skida1","0.876","2.222","2.100","3.069"
"Grin1","0.876","2.222","2.100","3.069"
"Cd302","0.876","2.222","2.100","3.069"
"Aplnr","0.876","2.222","2.100","3.069"
"Pak6","0.876","2.222","2.100","3.069"
"Dut","0.876","2.222","2.100","3.069"
"Plcb4","0.876","2.222","2.100","3.069"
"Mmp9","0.876","2.222","2.100","3.069"
"Pck1","0.876","2.222","2.100","3.069"
"Cp","0.876","2.222","2.100","3.069"
"Plk4","0.876","2.222","2.100","3.069"
"Mme","0.876","2.222","2.100","3.069"
"Cd5l","0.876","2.222","2.100","3.069"
"Efna4","0.876","2.222","2.100","3.069"
"Tmod4","0.876","2.222","2.100","3.069"
"Mab21l3","0.876","2.222","2.100","3.069"
"Gstm4","0.876","2.222","2.100","3.069"
"Gimd1","0.876","2.222","2.100","3.069"
"Erich3","0.876","2.222","2.100","3.069"
"Cyp2j8","0.876","2.222","2.100","3.069"
"Rad54l","0.876","2.222","2.100","3.069"
"Edn2","0.876","2.222","2.100","3.069"
"Vwa1","0.876","2.222","2.100","3.069"
"Cxcl3","0.876","2.222","2.100","3.069"
"Glmn","0.876","2.222","2.100","3.069"
"Gpc2","0.876","2.222","2.100","3.069"
"Rnf148","0.876","2.222","2.100","3.069"
"Hoxa3","0.876","2.222","2.100","3.069"
"Ccdc142","0.876","2.222","2.100","3.069"
"Slc4a5","0.876","2.222","2.100","3.069"
"Clec4d","0.876","2.222","2.100","3.069"
"BC035044","0.876","2.222","2.100","3.069"
"Clec2i","0.876","2.222","2.100","3.069"
"Sult6b2","0.876","2.222","2.100","3.069"
"Pthlh","0.876","2.222","2.100","3.069"
"Hif3a","0.876","2.222","2.100","3.069"
"Slc7a9","0.876","2.222","2.100","3.069"
"Dpy19l3","0.876","2.222","2.100","3.069"
"AW146154","0.876","2.222","2.100","3.069"
"Mamstr","0.876","2.222","2.100","3.069"
"Car11","0.876","2.222","2.100","3.069"
"Lins1","0.876","2.222","2.100","3.069"
"Relt","0.876","2.222","2.100","3.069"
"Olfr78","0.876","2.222","2.100","3.069"
"Kdm8","0.876","2.222","2.100","3.069"
"Rasa3","0.876","2.222","2.100","3.069"
"Nrg1","0.876","2.222","2.100","3.069"
"Rasd2","0.876","2.222","2.100","3.069"
"Nkd1","0.876","2.222","2.100","3.069"
"Mt3","0.876","2.222","2.100","3.069"
"Tmem25","0.876","2.222","2.100","3.069"
"Ubap1l","0.876","2.222","2.100","3.069"
"Camkv","0.876","2.222","2.100","3.069"
"Ccdc162","0.876","2.222","2.100","3.069"
"Tacr2","0.876","2.222","2.100","3.069"
"Aire","0.876","2.222","2.100","3.069"
"Cfap54","0.876","2.222","2.100","3.069"
"Glipr1","0.876","2.222","2.100","3.069"
"Lyz1","0.876","2.222","2.100","3.069"
"Ikzf4","0.876","2.222","2.100","3.069"
"Il12b","0.876","2.222","2.100","3.069"
"Trim7","0.876","2.222","2.100","3.069"
"Nlrp3","0.876","2.222","2.100","3.069"
"Hes7","0.876","2.222","2.100","3.069"
"Efnb3","0.876","2.222","2.100","3.069"
"Ccl9","0.876","2.222","2.100","3.069"
"Cbr2","0.876","2.222","2.100","3.069"
"Dgkb","0.876","2.222","2.100","3.069"
"Plekhd1","0.876","2.222","2.100","3.069"
"Dpf3","0.876","2.222","2.100","3.069"
"Acot1","0.876","2.222","2.100","3.069"
"Moap1","0.876","2.222","2.100","3.069"
"Serpina9","0.876","2.222","2.100","3.069"
"Serpina3g","0.876","2.222","2.100","3.069"
"Inhba","0.876","2.222","2.100","3.069"
"Tcrg-V5","0.876","2.222","2.100","3.069"
"Aoah","0.876","2.222","2.100","3.069"
"Vmn1r201","0.876","2.222","2.100","3.069"
"Fbxl21","0.876","2.222","2.100","3.069"
"Klhl3","0.876","2.222","2.100","3.069"
"Mtrr","0.876","2.222","2.100","3.069"
"Tgm1","0.876","2.222","2.100","3.069"
"Dgkh","0.876","2.222","2.100","3.069"
"Acod1","0.876","2.222","2.100","3.069"
"Cplane1","0.876","2.222","2.100","3.069"
"Prlr","0.876","2.222","2.100","3.069"
"Dcstamp","0.876","2.222","2.100","3.069"
"Top1mt","0.876","2.222","2.100","3.069"
"Apol7c","0.876","2.222","2.100","3.069"
"Sult4a1","0.876","2.222","2.100","3.069"
"Wnt7b","0.876","2.222","2.100","3.069"
"Adm2","0.876","2.222","2.100","3.069"
"Abcd2","0.876","2.222","2.100","3.069"
"Cdc45","0.876","2.222","2.100","3.069"
"Igsf11","0.876","2.222","2.100","3.069"
"Zfp811","0.876","2.222","2.100","3.069"
"Prkd3","0.876","2.222","2.100","3.069"
"Haus1","0.876","2.222","2.100","3.069"
"Kcnk7","0.876","2.222","2.100","3.069"
"Slc15a3","0.876","2.222","2.100","3.069"
"Ms4a6d","0.876","2.222","2.100","3.069"
"Olfr1457","0.876","2.222","2.100","3.069"
"Trub1","0.876","2.222","2.100","3.069"
"Stk26","0.876","2.222","2.100","3.069"
"Zfp185","0.876","2.222","2.100","3.069"
"Gdpd2","0.876","2.222","2.100","3.069"
"Gja6","0.876","2.222","2.100","3.069"
"Tmem184b","0.876","-2.221","5.705","-1.938"
"Mdh2","0.876","-2.220","5.631","-1.922"
"S100a2","0.876","2.219","3.564","1.908"
"Polr3g","0.876","2.219","3.564","1.908"
"Gpc4","0.876","2.218","4.132","2.177"
"Mettl14","0.876","2.217","3.473","1.908"
"Lpar6","0.876","2.217","3.473","1.908"
"Samd12","0.876","2.217","3.473","1.908"
"Tmem241","0.876","2.217","3.473","1.908"
"Tns4","0.876","2.212","4.293","2.245"
"Slc25a19","0.876","2.212","3.644","1.908"
"Gipc2","0.876","-2.210","6.790","-2.291"
"Zyx","0.876","-2.208","6.711","-2.246"
"Nudcd2","0.876","2.206","3.879","2.234"
"Suox","0.876","-2.203","7.626","-2.712"
"Rpp25","0.876","-2.202","5.310","-2.212"
"Taf6","0.876","2.202","4.387","2.151"
"Nfx1","0.876","2.201","5.445","2.151"
"Slc25a5","0.876","-2.201","4.881","-2.007"
"Scai","0.876","2.200","3.370","1.908"
"Abhd18","0.876","2.200","3.370","1.908"
"Rab33b","0.876","2.200","3.370","1.908"
"Casp8ap2","0.876","2.200","3.370","1.908"
"Casd1","0.876","2.200","3.370","1.908"
"Ccdc114","0.876","2.200","3.370","1.908"
"Adap2","0.876","2.200","3.370","1.908"
"Cdr2l","0.876","2.200","3.370","1.908"
"Slc25a36","0.876","2.197","5.017","2.332"
"Ints2","0.876","2.197","3.716","1.908"
"Wwox","0.876","2.189","5.093","2.368"
"Evi5l","0.876","2.189","4.563","2.161"
"Nab2","0.876","2.188","4.444","2.470"
"Slc27a4","0.876","-2.186","6.383","-2.091"
"Khdc3","0.876","2.185","4.030","2.173"
"Zfp408","0.876","2.183","4.240","2.139"
"Cox5a","0.876","-2.181","7.070","-2.397"
"Ccdc9b","0.876","2.181","5.163","2.183"
"Epha4","0.876","2.175","4.465","2.126"
"Ano6","0.876","2.175","4.465","2.126"
