"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Fmo5","0.471","2.813","0.576","0.435"
"Pmm1","0.471","2.812","0.260","0.343"
"Diaph1","0.471","-2.812","0.344","-0.308"
"Ciao1","0.471","-2.811","0.127","-0.175"
"Nup214","0.471","-2.807","0.150","-0.204"
"Mocs1","0.471","-2.806","0.496","-0.383"
"Oas3","0.471","-2.806","6.546e-02","-0.155"
"Mpst","0.471","-2.805","0.488","-0.321"
"Mars","0.473","-2.802","0.207","-0.222"
"Caml","0.474","-2.800","9.495e-02","-0.149"
"Abcd3","0.479","-2.795","0.672","-0.385"
"Morf4l2","0.484","-2.789","9.973e-02","-0.143"
"Tatdn2","0.484","-2.787","0.216","-0.247"
"U2surp","0.484","-2.785","0.381","-0.345"
"Krt20","0.484","2.783","1.135","0.582"
"Sod1","0.484","-2.780","0.530","-0.328"
"Usp24","0.484","-2.778","0.405","-0.329"
"Hyou1","0.484","-2.778","0.442","-0.345"
"Tmem179b","0.484","2.778","0.144","0.209"
"Tuba4a","0.484","-2.778","6.113e-02","-0.127"
"Sgpp1","0.484","-2.777","0.558","-0.366"
"Uros","0.484","-2.776","7.545e-02","-0.150"
"Actr10","0.484","-2.775","0.110","-0.153"
"Duox2","0.484","2.773","1.368","0.675"
"Spg7","0.485","-2.771","0.382","-0.298"
"Eif4a1","0.485","-2.770","0.549","-0.364"
"Sec61g","0.485","2.767","0.324","0.312"
"Tmem115","0.485","-2.764","0.293","-0.268"
"Cd164","0.485","-2.764","0.757","-0.391"
"Cep170b","0.485","-2.762","0.577","-0.373"
"Cabin1","0.485","-2.761","0.292","-0.266"
"Cnih1","0.485","-2.758","0.155","-0.196"
"Ywhaq","0.485","-2.758","5.754e-02","-9.418e-02"
"Pwwp2b","0.485","-2.758","0.476","-0.345"
"Xpo5","0.485","-2.757","7.841e-02","-0.153"
"Noc3l","0.489","-2.753","9.392e-02","-0.158"
"Prpf40a","0.489","-2.750","0.370","-0.304"
"Smarcb1","0.489","-2.749","0.205","-0.234"
"Slc26a9","0.489","2.748","1.031","0.681"
"Flii","0.489","2.748","0.624","0.370"
"Parp10","0.489","-2.746","0.199","-0.265"
"Hs1bp3","0.489","-2.745","0.106","-0.183"
"Vmp1","0.489","2.744","2.149","0.549"
"Tial1","0.489","-2.743","0.551","-0.415"
"Ubald1","0.489","-2.742","0.233","-0.256"
"Atp5k","0.489","-2.739","0.610","-0.355"
"Slc39a7","0.489","-2.738","0.452","-0.312"
"Emp2","0.489","-2.737","0.204","-0.223"
"Rnf31","0.489","-2.737","0.280","-0.291"
"Tsr3","0.489","-2.733","0.186","-0.243"
"Wdr3","0.489","-2.733","0.126","-0.190"
"Lrrfip1","0.489","2.731","0.995","0.485"
"Lyrm9","0.489","-2.730","7.241e-02","-0.144"
"Zfp445","0.489","-2.730","0.342","-0.300"
"Nyap1","0.489","2.729","9.725e-02","0.145"
"B4galnt1","0.490","-2.727","1.160","-0.469"
"Clstn1","0.490","2.726","0.648","0.367"
"Adpgk","0.490","-2.725","9.620e-02","-0.193"
"Gtf2ird1","0.491","-2.723","0.363","-0.316"
"Wasl","0.492","2.721","0.349","0.290"
"Sqstm1","0.498","2.716","0.509","0.349"
"Aldh1a1","0.499","-2.714","0.400","-0.335"
"Notch2","0.501","-2.711","0.154","-0.223"
"Ddx18","0.502","-2.709","4.092e-02","-9.719e-02"
"Parm1","0.502","2.708","1.193","0.455"
"L1cam","0.508","-2.700","8.163e-02","-0.147"
"Pml","0.508","-2.700","0.245","-0.229"
"Pygb","0.508","-2.697","0.533","-0.375"
"Ube2n","0.508","-2.697","6.408e-02","-0.123"
"Coq8b","0.508","-2.697","0.136","-0.170"
"Akr1b8","0.508","2.697","1.028","0.482"
"Naa38","0.508","-2.695","0.157","-0.204"
"Rab7","0.508","-2.694","0.338","-0.280"
"Nxnl2","0.508","-2.694","5.338e-02","-0.127"
"Eif4e","0.510","-2.691","0.187","-0.228"
"Nek3","0.511","-2.688","7.657e-02","-0.159"
"Tmc5","0.511","2.687","0.530","0.389"
"Mdh2","0.511","-2.686","0.223","-0.220"
"Acap3","0.511","-2.685","0.247","-0.268"
"Rraga","0.511","-2.685","4.485e-02","-9.204e-02"
"Rnase4","0.512","2.682","0.647","0.388"
