"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"S100a1","2.904e-04","-4.840","1.533","-0.576"
"Tbce","2.951e-04","4.835","0.159","0.298"
"Klf2","2.951e-04","-4.834","0.459","-0.537"
"Nfat5","2.990e-04","4.830","0.407","0.408"
"Akap8","3.177e-04","4.815","0.273","0.362"
"Slc35f6","3.270e-04","-4.807","0.420","-0.317"
"Pnpla2","3.270e-04","-4.806","0.674","-0.417"
"Ccnl2","3.455e-04","4.792","1.074","0.566"
"Pdzrn3","3.490e-04","4.789","0.147","0.344"
"Serpinb1a","3.596e-04","-4.781","1.987","-0.645"
"Fabp5","3.734e-04","-4.771","0.500","-0.444"
"Otud5","3.929e-04","4.758","0.513","0.501"
"Maff","3.949e-04","-4.756","0.910","-0.543"
"Suox","4.125e-04","-4.744","1.044","-0.594"
"Lasp1","4.199e-04","-4.739","1.790","-0.505"
"Rrbp1","4.351e-04","-4.729","1.601","-0.486"
"Tprgl","4.351e-04","-4.729","0.225","-0.222"
"Gsta4","4.499e-04","-4.720","3.124","-0.725"
"Insig1","4.509e-04","-4.719","1.071","-0.618"
"Perp","4.555e-04","-4.715","1.051","-0.514"
"Tmem79","4.776e-04","-4.703","0.417","-0.353"
"Pex19","4.780e-04","-4.702","0.258","-0.271"
"Gid8","4.949e-04","-4.693","0.278","-0.272"
"Gpx1","5.389e-04","-4.672","1.493","-0.590"
"Selenoi","5.404e-04","-4.670","0.987","-0.438"
"Reg3g","5.789e-04","4.653","8.773e-02","0.247"
"Dgka","5.799e-04","4.651","0.697","0.549"
"Rab25","5.907e-04","-4.646","0.622","-0.387"
"Arntl2","5.932e-04","4.644","0.294","0.377"
"Shf","5.932e-04","4.643","0.218","0.386"
"Ccnl1","6.057e-04","4.637","0.803","0.521"
"Clasrp","6.138e-04","4.633","0.364","0.449"
"Rhou","6.378e-04","-4.623","0.843","-0.454"
"Dnm1l","6.594e-04","4.614","0.367","0.361"
"Mgat4a","6.594e-04","4.613","0.710","0.520"
"Prpsap1","6.792e-04","-4.605","0.219","-0.222"
"Phf13","6.922e-04","-4.600","0.302","-0.298"
"Kmt5b","6.972e-04","4.597","0.376","0.421"
"Nisch","7.153e-04","4.590","0.431","0.414"
"Spint1","7.220e-04","-4.587","1.365","-0.454"
"Map2k3","7.545e-04","-4.575","1.315","-0.528"
"Lama5","7.689e-04","4.570","0.432","0.498"
"Cldnd1","7.813e-04","-4.565","0.661","-0.425"
"Enpp3","7.933e-04","4.560","0.156","0.312"
"Nfe2l3","7.974e-04","4.558","0.141","0.291"
"Mpst","8.469e-04","-4.543","0.744","-0.423"
"S100a14","8.483e-04","-4.541","2.291","-0.582"
"Bmp8a","8.607e-04","-4.537","0.317","-0.338"
"Syncrip","8.737e-04","4.533","0.395","0.401"
"Irf2bp2","8.802e-04","-4.530","1.422","-0.529"
"Zfpm1","8.888e-04","-4.527","0.251","-0.237"
"Spink4","9.116e-04","-4.520","0.827","-0.666"
"Oas1g","9.944e-04","-4.498","0.137","-0.180"
"Acacb","1.023e-03","-4.490","0.181","-0.216"
"Itga2","1.023e-03","4.487","0.300","0.486"
"Spata2","1.023e-03","-4.487","0.330","-0.304"
"Herpud1","1.023e-03","4.486","0.608","0.468"
"Gsdma2","1.023e-03","-4.486","0.954","-0.621"
"Phf23","1.051e-03","-4.479","0.238","-0.253"
"Entpd2","1.129e-03","-4.460","0.175","-0.199"
"Krt80","1.141e-03","-4.457","1.080","-0.582"
"Adam8","1.154e-03","4.453","0.118","0.317"
"Rsad1","1.154e-03","4.453","0.282","0.327"
"Ccdc85c","1.210e-03","-4.440","1.158","-0.481"
"Ptdss1","1.236e-03","-4.434","0.670","-0.408"
"Snx3","1.311e-03","-4.418","0.625","-0.355"
"Glmp","1.311e-03","-4.418","0.511","-0.322"
"Clic4","1.395e-03","-4.402","1.789","-0.612"
"Sh3bgrl3","1.525e-03","-4.379","0.649","-0.392"
"Pnn","1.536e-03","4.376","0.431","0.409"
"Akp3","1.559e-03","4.372","0.164","0.322"
"S100a13","1.695e-03","-4.350","1.078","-0.534"
"Synpo","1.729e-03","-4.344","0.174","-0.188"
"Mrtfa","1.737e-03","-4.342","0.232","-0.257"
"Ehd4","1.836e-03","-4.328","0.502","-0.362"
"Zfp579","1.842e-03","4.326","0.146","0.269"
"Pgc","1.861e-03","-4.323","3.544","-0.674"
"Apc","1.904e-03","4.316","0.372","0.343"
"Sdf2","1.924e-03","4.313","0.907","0.439"
"Adipor2","1.930e-03","-4.310","0.444","-0.298"
"Gabpb2","1.930e-03","4.310","0.248","0.309"
"Rsad2","1.930e-03","-4.309","0.235","-0.340"
"Reg3b","1.932e-03","4.308","9.760e-02","0.286"
"Dtx3l","1.963e-03","-4.303","0.269","-0.269"
"Igkc","2.066e-03","4.289","0.194","0.327"
"Mlf2","2.066e-03","-4.289","0.895","-0.409"
"Sytl1","2.086e-03","-4.286","0.711","-0.402"
"Tmem51","2.219e-03","-4.269","0.853","-0.442"
"Atf4","2.219e-03","-4.269","0.236","-0.218"
"Il1rn","2.297e-03","4.259","0.453","0.567"
"Il1a","2.322e-03","4.256","0.126","0.334"
"mt-Nd5","2.368e-03","4.250","1.018","0.596"
"Phyh","2.385e-03","-4.247","0.542","-0.332"
"Ppp2ca","2.414e-03","-4.243","1.595","-0.530"
"Irgm2","2.415e-03","-4.242","0.160","-0.230"
"Stim2","2.418e-03","-4.241","0.408","-0.288"
"Rgs11","2.491e-03","4.233","0.115","0.268"
"Me1","2.492e-03","-4.232","1.089","-0.475"
"Fer1l6","2.521e-03","4.228","1.607","0.485"
"Hist1h2bc","2.536e-03","-4.226","0.629","-0.387"
"Ifi30","2.590e-03","-4.220","1.019","-0.443"
"Lbh","2.623e-03","-4.216","1.332","-0.563"
"Syt8","2.663e-03","4.211","1.932","0.517"
"Mllt6","2.679e-03","4.209","0.168","0.264"
"Ppp1r15b","2.849e-03","-4.192","0.809","-0.370"
"Stam","2.849e-03","4.192","0.451","0.416"
"Rasef","2.945e-03","-4.183","1.393","-0.499"
"Ddx60","2.982e-03","-4.178","0.729","-0.561"
"Gtpbp2","3.039e-03","4.173","1.649","0.423"
"Smdt1","3.053e-03","-4.171","0.479","-0.296"
"Samd5","3.128e-03","4.164","0.250","0.380"
"Gnb1","3.245e-03","-4.154","0.913","-0.396"
"Msrb1","3.263e-03","-4.151","0.438","-0.299"
"Irs2","3.263e-03","-4.151","0.435","-0.328"
"Saa3","3.357e-03","4.143","6.748e-02","0.185"
"Spaca6","3.381e-03","4.140","0.277","0.350"
"Porcn","3.381e-03","4.139","0.191","0.300"
"Mcpt1","3.381e-03","4.139","0.131","0.305"
"Me2","3.389e-03","-4.137","0.493","-0.378"
"Zkscan3","3.609e-03","4.120","0.402","0.405"
"Scamp2","3.642e-03","-4.117","0.432","-0.264"
"Cep170b","3.642e-03","-4.116","0.861","-0.391"
"Cldn7","3.692e-03","4.112","0.761","0.567"
