"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Twf1","0.407","-2.890","0.372","-0.348"
"Nelfe","0.407","-2.888","0.224","-0.225"
"Fer1l4","0.407","-2.887","0.436","-0.373"
"Hspd1","0.410","-2.883","0.698","-0.371"
"Klc4","0.410","2.882","0.777","0.467"
"Plet1","0.421","-2.872","1.624","-0.499"
"Srbd1","0.432","2.861","0.124","0.242"
"Mgat4b","0.432","-2.859","0.247","-0.223"
"Ifi30","0.435","-2.856","0.534","-0.368"
"Pgd","0.435","-2.854","0.771","-0.413"
"Dbn1","0.439","-2.849","1.069","-0.451"
"Pisd","0.441","-2.846","0.481","-0.360"
"Serinc3","0.441","-2.843","2.281","-0.498"
"Arl8a","0.441","-2.842","0.782","-0.404"
"Cep350","0.441","-2.842","1.001","-0.449"
"Cmtm8","0.441","-2.839","0.510","-0.338"
"Fzd6","0.441","-2.837","0.146","-0.178"
"Cyp2s1","0.441","-2.837","2.526","-0.570"
"Shb","0.441","-2.836","0.870","-0.441"
"Ptpn13","0.441","2.835","0.128","0.253"
"Atp1a1","0.443","-2.831","2.179","-0.513"
"Atn1","0.443","-2.829","0.733","-0.358"
"Slc25a17","0.443","-2.828","0.435","-0.304"
"Ywhab","0.443","-2.828","0.570","-0.323"
"Sec61g","0.447","2.822","0.458","0.359"
"Krtcap3","0.447","-2.819","0.617","-0.368"
"Gpr107","0.447","-2.818","0.401","-0.293"
"Psmc2","0.447","-2.817","0.349","-0.297"
"Adm","0.447","-2.817","0.265","-0.279"
"Oas2","0.447","-2.815","0.198","-0.260"
"Nfatc3","0.447","-2.815","0.173","-0.217"
"Sipa1l3","0.448","-2.813","0.480","-0.298"
"Kansl1","0.452","-2.808","0.595","-0.352"
"Impad1","0.454","-2.805","0.685","-0.347"
"Isg15","0.454","-2.802","0.213","-0.294"
"Eif2b1","0.454","-2.802","0.184","-0.174"
"Cyp2j6","0.460","-2.797","0.651","-0.350"
"Abhd5","0.461","-2.794","0.111","-0.154"
"Fbxw8","0.462","-2.792","0.419","-0.287"
"Cfl1","0.463","-2.789","0.953","-0.444"
"Fkrp","0.463","-2.788","0.529","-0.347"
"Casp3","0.463","-2.787","0.376","-0.322"
"Hexa","0.463","-2.786","0.545","-0.314"
"Letm1","0.463","-2.784","1.145","-0.473"
"Atp6v0c","0.463","-2.783","0.870","-0.429"
"Lmo7","0.463","-2.781","0.666","-0.375"
"Spink4","0.463","-2.781","0.355","-0.299"
"Mllt10","0.471","-2.774","0.191","-0.195"
"Kifc1","0.471","2.769","3.356e-02","0.111"
"Skiv2l","0.471","-2.768","0.368","-0.271"
"Galnt15","0.471","2.767","3.486e-02","0.110"
"Atxn2","0.471","-2.765","0.315","-0.240"
"Rbm42","0.471","-2.764","0.424","-0.312"
"Plekha5","0.471","2.764","0.214","0.308"
"BC005537","0.471","-2.764","0.797","-0.384"
"Luc7l","0.471","-2.763","0.452","-0.333"
"Pigu","0.471","-2.762","0.315","-0.267"
"Ascc3","0.471","-2.760","0.320","-0.258"
"Zpr1","0.471","-2.759","0.215","-0.215"
"Smim38","0.472","-2.752","3.773","-0.462"
"Tmem171","0.472","-2.752","1.104","-0.552"
"Pex11g","0.472","2.751","0.262","0.253"
"Spata2","0.472","-2.751","0.227","-0.235"
"Opa3","0.472","-2.751","0.415","-0.309"
"Pim3","0.472","-2.750","0.879","-0.397"
"Cnn3","0.472","-2.748","1.519","-0.503"
"Tmem60","0.472","2.748","0.132","0.167"
"Dgcr2","0.472","-2.748","0.676","-0.377"
"Mcu","0.473","-2.746","0.209","-0.206"
"Mtmr4","0.473","-2.744","0.254","-0.248"
"Dmbx1","0.473","-2.743","0.361","-0.313"
"Hebp2","0.473","2.742","2.130e-02","7.753e-02"
"Usp18","0.473","-2.741","0.260","-0.264"
"Mdp1","0.476","-2.738","0.403","-0.285"
"Ssr2","0.480","-2.731","0.695","-0.356"
"Mfsd11","0.480","-2.731","0.430","-0.316"
"Clmn","0.480","-2.731","0.651","-0.345"
"Igkc","0.481","2.729","0.166","0.237"
"Man1a","0.481","-2.727","1.719","-0.502"
"Zfp407","0.481","-2.726","0.195","-0.212"
"Mansc1","0.481","-2.725","0.277","-0.274"
"Adgrg1","0.486","-2.721","0.738","-0.413"
"Gstt3","0.488","2.718","0.448","0.324"
"Ctbp2","0.492","-2.714","0.448","-0.321"
"Mtch1","0.498","-2.707","1.442","-0.507"
"Irf2bp2","0.498","-2.706","1.404","-0.435"
"Klhl12","0.498","-2.706","0.243","-0.214"
"Ankrd9","0.502","-2.701","0.566","-0.369"
"Ciapin1","0.502","-2.701","0.472","-0.321"
"Khdrbs1","0.502","-2.700","0.397","-0.297"
"Fam107b","0.513","-2.689","0.455","-0.332"
"Dgkq","0.513","2.688","0.320","0.340"
