"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Cdc42bpg","8.565e-02","-3.573","0.181","-0.591"
"Lemd2","9.193e-02","-3.548","0.312","-0.729"
"Atp6v0a1","9.643e-02","-3.531","0.456","-0.881"
"Dpp3","9.643e-02","-3.528","0.195","-0.596"
"Nog","9.643e-02","-3.525","5.678e-02","-0.341"
"Baiap2","9.643e-02","-3.525","0.120","-0.496"
"Ssh3","9.643e-02","-3.523","0.298","-0.711"
"Cd44","9.756e-02","-3.517","0.224","-0.717"
"Plvap","9.797e-02","-3.514","8.335e-02","-0.405"
"Slc25a3","9.893e-02","-3.509","0.259","-0.636"
"Lamp2","9.907e-02","-3.506","0.230","-0.553"
"Lat","9.907e-02","-3.504","0.103","-0.427"
"Ilkap","9.922e-02","-3.502","0.107","-0.374"
"Alas1","9.979e-02","-3.497","0.207","-0.583"
"Slc27a4","9.979e-02","-3.496","0.363","-0.832"
"Trnp1","0.102","-3.488","0.212","-0.616"
"Nup37","0.104","-3.480","9.758e-02","-0.435"
"Flna","0.105","-3.473","0.187","-0.584"
"Lamb3","0.105","-3.473","0.284","-0.681"
"Naa50","0.108","-3.460","0.151","-0.519"
"Col17a1","0.109","-3.457","6.491e-02","-0.389"
"Mpzl2","0.112","-3.445","0.235","-0.683"
"Ccser2","0.112","-3.443","9.934e-02","-0.374"
"Ndufv1","0.113","-3.439","0.283","-0.661"
"Acvr2a","0.114","-3.434","4.893e-02","-0.294"
"Ralgps2","0.114","-3.432","0.217","-0.571"
"Pak4","0.114","-3.430","0.244","-0.557"
"Eprs","0.114","-3.429","0.121","-0.399"
"Olfr1390","0.115","-3.425","5.546e-02","-0.333"
"Cenpb","0.115","-3.424","0.327","-0.671"
"Atp1b3","0.116","-3.418","0.255","-0.753"
"Ephx1","0.117","-3.414","0.129","-0.467"
"Acaca","0.117","-3.411","0.277","-0.688"
"Cluh","0.117","-3.410","0.188","-0.542"
"Zfp292","0.117","-3.410","0.277","-0.673"
"Incenp","0.118","-3.405","0.104","-0.446"
"Cers6","0.118","-3.401","0.116","-0.410"
"Gabarap","0.119","-3.397","9.702e-02","-0.365"
"Glipr2","0.119","-3.394","3.058e-02","-0.183"
"Cuta","0.119","-3.394","0.180","-0.532"
"Psmb4","0.120","-3.387","4.523e-02","-0.271"
"Sult1a1","0.120","-3.387","4.523e-02","-0.271"
"Rab15","0.120","-3.386","0.107","-0.416"
"Sdc1","0.121","-3.383","0.423","-0.875"
"Cpox","0.122","-3.378","0.226","-0.587"
"Ankrd27","0.122","-3.377","6.814e-02","-0.409"
"Sgk1","0.122","-3.374","0.235","-0.651"
"Dlg2","0.123","-3.367","3.860e-02","-0.232"
"Slc17a7","0.123","-3.367","2.877e-02","-0.173"
"Rad1","0.123","-3.367","2.877e-02","-0.173"
"Foxs1","0.126","-3.356","2.508e-02","-0.150"
"Nr2f6","0.126","-3.356","2.508e-02","-0.150"
"Nmt1","0.127","-3.351","9.695e-02","-0.321"
"Erbb2","0.127","-3.350","0.289","-0.737"
"Mdn1","0.127","-3.346","2.811e-02","-0.169"
"Golga7","0.127","-3.344","0.381","-0.683"
"Asb6","0.127","-3.343","0.189","-0.502"
"Rbm6","0.127","-3.341","0.341","-0.720"
"Uqcr10","0.127","-3.341","0.267","-0.639"
"Slc25a37","0.127","-3.340","0.136","-0.432"
"Zfp467","0.127","-3.337","0.164","-0.553"
"Grap","0.127","-3.335","9.959e-02","-0.426"
"Lrrc41","0.127","-3.333","0.162","-0.483"
"Cyp2f2","0.127","-3.333","0.171","-0.652"
"Tmem43","0.127","-3.332","0.201","-0.513"
"Kctd15","0.128","-3.329","0.180","-0.558"
"Tmtc4","0.128","-3.325","7.886e-02","-0.347"
"Lipc","0.128","-3.323","3.001e-02","-0.180"
"Clpx","0.128","-3.323","0.257","-0.623"
"Psmd3","0.128","-3.323","3.833e-02","-0.230"
"Vamp5","0.130","-3.317","8.320e-02","-0.352"
"Ripk2","0.130","-3.316","0.100","-0.338"
"Eif6","0.130","-3.314","0.246","-0.618"
"Alg8","0.131","-3.309","0.282","-0.648"
"Pitpnm2","0.131","-3.308","3.107e-02","-0.186"
"Trappc1","0.133","-3.302","9.216e-02","-0.348"
"Exd2","0.134","-3.298","0.197","-0.499"
"Dsg1b","0.134","-3.296","0.148","-0.559"
"Dpp7","0.134","-3.296","9.580e-02","-0.364"
"Pin1","0.134","-3.293","3.196e-02","-0.192"
"Kazn","0.134","-3.292","0.115","-0.389"
"Fer","0.134","-3.291","0.246","-0.521"
"Art4","0.134","-3.289","0.102","-0.377"
"H2afx","0.134","-3.287","0.174","-0.449"
"Hace1","0.134","-3.283","7.470e-02","-0.331"
"Topors","0.134","-3.283","9.135e-02","-0.370"
"Znhit1","0.134","-3.282","0.286","-0.609"
"Cgn","0.135","-3.278","0.185","-0.505"
"Emp1","0.138","-3.271","9.634e-02","-0.360"
"Araf","0.138","-3.269","0.125","-0.414"
"Kcmf1","0.140","-3.262","0.175","-0.479"
"Spertl","0.140","-3.261","7.300e-02","-0.316"
"S100a14","0.140","-3.259","0.677","-1.058"
"Myo5a","0.140","-3.257","0.126","-0.355"
"Mical2","0.140","-3.257","0.350","-0.698"
"Pigt","0.142","-3.250","0.125","-0.423"
"Krt80","0.142","-3.249","9.668e-02","-0.403"
"Gapvd1","0.142","-3.248","0.419","-0.760"
"Gstk1","0.143","-3.245","3.477e-02","-0.209"
"BC003965","0.144","-3.241","0.229","-0.570"
"Pla2g1b","0.145","-3.237","1.221","-1.307"
"Mettl9","0.146","-3.235","0.173","-0.513"
"Gpr107","0.146","-3.233","0.215","-0.565"
"Ostm1","0.146","-3.232","0.124","-0.463"
"Rdh12","0.147","-3.228","0.212","-0.660"
"Dars","0.148","-3.225","0.161","-0.456"
"Phf1","0.151","-3.217","0.157","-0.411"
"Nr2c2ap","0.151","-3.216","0.118","-0.349"
"Mbnl3","0.153","-3.209","4.568e-02","-0.274"
"Ddr1","0.153","-3.207","0.230","-0.593"
"Hs2st1","0.153","-3.207","0.192","-0.490"
"Nfe2l2","0.153","-3.205","0.457","-0.812"
"Lss","0.154","-3.202","0.329","-0.805"
"Pik3ca","0.154","-3.200","0.152","-0.436"
"Ssx2ip","0.154","-3.199","0.105","-0.394"
"Anxa1","0.154","-3.199","0.231","-0.594"
"Ly6e","0.155","-3.194","0.427","-0.720"
"Fth1","0.155","-3.192","0.649","-0.945"
"Aqp3","0.155","-3.191","0.507","-0.922"
"Ints3","0.155","-3.190","0.116","-0.402"
"Wasl","0.156","-3.188","0.135","-0.420"
"Ggt6","0.156","-3.178","0.202","-0.577"
"Tmsb4x","0.156","-3.174","1.273","-1.307"
"Nrarp","0.156","-3.168","0.105","-0.381"
"Srebf2","0.156","-3.165","0.682","-1.001"
"Lct","0.156","-3.163","2.020e-02","-0.121"
"Mfsd14a","0.156","-3.163","2.020e-02","-0.121"
"Tal2","0.156","-3.163","2.020e-02","-0.121"
"Hpdl","0.156","-3.163","2.020e-02","-0.121"
"Rbp7","0.156","-3.163","2.020e-02","-0.121"
"Garem2","0.156","-3.163","2.020e-02","-0.121"
"Cpne7","0.156","-3.163","2.020e-02","-0.121"
"Spata2l","0.156","-3.163","2.020e-02","-0.121"
"Ccdc36","0.156","-3.163","2.020e-02","-0.121"
"Ccr5","0.156","-3.163","2.020e-02","-0.121"
"Tcap","0.156","-3.163","2.020e-02","-0.121"
"Acot10","0.156","-3.163","2.020e-02","-0.121"
"Gsc2","0.156","-3.163","2.020e-02","-0.121"
"Gpha2","0.156","-3.163","2.020e-02","-0.121"
"Keg1","0.156","-3.163","2.020e-02","-0.121"
"Cldn34b1","0.156","-3.163","2.020e-02","-0.121"
"Fhl2","0.156","-3.162","0.277","-0.612"
"Auh","0.157","-3.160","0.179","-0.481"
"Csnk1e","0.160","-3.151","8.695e-02","-0.331"
"Zcchc24","0.162","-3.147","8.627e-02","-0.349"
"Sh3gl1","0.162","-3.146","0.520","-0.824"
"Kansl3","0.162","-3.143","0.198","-0.543"
"Mark2","0.165","-3.137","0.327","-0.615"
"Mdfic","0.165","-3.134","0.245","-0.575"
"Adprhl2","0.165","-3.132","0.169","-0.519"
"AI661453","0.165","-3.130","0.257","-0.586"
"Fkbp15","0.165","-3.128","2.201e-02","-0.132"
"Akna","0.165","-3.128","2.201e-02","-0.132"
"Nol9","0.165","-3.128","2.201e-02","-0.132"
"Taf7","0.165","-3.128","2.201e-02","-0.132"
"Senp7","0.169","-3.118","8.386e-02","-0.328"
"Lor","0.169","-3.117","0.150","-0.669"
"Kdm5d","0.170","-3.115","0.163","-0.444"
"Mto1","0.171","-3.112","0.262","-0.646"
"Ankrd16","0.172","-3.109","0.107","-0.369"
"Myd88","0.173","-3.104","0.114","-0.367"
"Drosha","0.173","-3.102","6.720e-02","-0.260"
"Fuca2","0.173","-3.102","0.171","-0.438"
"Trpm6","0.173","-3.102","4.306e-02","-0.258"
"Ly6a","0.175","-3.098","0.204","-0.570"
"Lad1","0.175","-3.097","0.411","-0.786"
"Synpo","0.176","-3.094","0.167","-0.465"
"Jup","0.179","-3.087","0.676","-1.006"
"Tuft1","0.180","-3.083","0.272","-0.593"
"Ogfr","0.181","-3.081","0.155","-0.481"
"Pheta1","0.181","-3.079","7.872e-02","-0.326"
"Cat","0.181","-3.078","0.262","-0.627"
"AA986860","0.181","-3.078","0.185","-0.506"
"Rb1","0.181","-3.077","0.152","-0.405"
"Scrib","0.181","-3.075","0.236","-0.584"
"Egr1","0.181","-3.074","0.154","-0.418"
"Tnfrsf1a","0.183","-3.070","0.253","-0.617"
"Bicd2","0.183","-3.069","0.199","-0.479"
"Ddx50","0.183","-3.067","0.300","-0.623"
"Tln2","0.183","-3.064","0.124","-0.425"
"Foxp1","0.183","-3.063","0.238","-0.562"
"Oplah","0.183","-3.062","5.755e-02","-0.264"
"Elmo2","0.183","-3.061","2.512e-02","-0.151"
"Agpat2","0.183","-3.061","0.138","-0.404"
"Htatip2","0.183","-3.061","0.196","-0.460"
"Map2k7","0.183","-3.060","0.140","-0.416"
"Usp4","0.183","-3.058","0.226","-0.490"
"Fdps","0.183","-3.058","0.528","-0.860"
"Klhl40","0.184","-3.055","6.732e-02","-0.287"
"Rab24","0.184","-3.055","0.510","-0.825"
"Eif4b","0.184","-3.052","0.269","-0.610"
"Gzmf","0.184","-3.051","6.742e-02","-0.287"
"Hipk1","0.184","-3.050","0.115","-0.372"
"Rnf44","0.184","-3.050","0.254","-0.548"
"Elf1","0.184","-3.049","0.181","-0.463"
"Zbtb7b","0.184","-3.048","0.278","-0.601"
"Polr1d","0.184","-3.046","0.585","-0.875"
"Sem1","0.184","-3.045","0.410","-0.700"
"Hnrnpd","0.184","-3.044","0.248","-0.538"
"Ktn1","0.184","-3.044","0.213","-0.514"
"Arhgap10","0.185","-3.041","0.274","-0.648"
"Cdk5rap2","0.187","-3.035","0.138","-0.465"
"Strn3","0.187","-3.033","0.157","-0.410"
"Dock6","0.187","-3.032","0.119","-0.424"
"Zkscan3","0.187","-3.032","0.293","-0.607"
"Ces2g","0.187","-3.032","0.292","-0.644"
"Pmpca","0.187","-3.032","0.113","-0.331"
"Dgat2","0.187","-3.030","0.244","-0.598"
"Hbegf","0.189","-3.027","0.209","-0.548"
"Arntl2","0.190","-3.022","0.189","-0.475"
"Slc25a28","0.190","-3.021","0.319","-0.660"
"Ecel1","0.190","-3.021","2.707e-02","-0.162"
"Slc41a2","0.190","-3.021","2.707e-02","-0.162"
"Zfp609","0.191","-3.018","4.240e-02","-0.193"
"Vmn1r231","0.192","-3.014","6.811e-02","-0.286"
"Mettl23","0.192","-3.013","0.137","-0.444"
"Podxl2","0.192","-3.013","0.114","-0.443"
"Stx8","0.192","-3.012","0.281","-0.559"
"Thrsp","0.193","-3.010","0.168","-0.465"
"Ralb","0.193","-3.008","0.159","-0.439"
"Lrp10","0.194","-3.006","0.295","-0.567"
"Calm3","0.195","-3.003","0.352","-0.631"
"Serpinb12","0.195","-3.001","0.137","-0.527"
"Borcs6","0.196","-3.000","0.117","-0.427"
"Gstp1","0.196","-2.999","0.224","-0.569"
"Prrc2b","0.197","-2.994","0.339","-0.608"
"Il10rb","0.197","-2.994","0.207","-0.517"
"Zfp445","0.197","-2.992","0.201","-0.507"
"Cyp51","0.197","-2.992","0.259","-0.566"
"Asprv1","0.198","-2.990","0.115","-0.460"
"Usp48","0.198","-2.990","0.104","-0.350"
"Eef1d","0.198","-2.989","0.114","-0.384"
"Otop3","0.200","-2.983","0.424","-0.820"
"Otud4","0.203","-2.977","0.140","-0.436"
"Fastk","0.203","-2.977","0.423","-0.697"
"Olfr709-ps1","0.205","-2.972","6.889e-02","-0.285"
"Atp5g3","0.210","-2.964","0.158","-0.410"
"Ddx31","0.210","-2.963","7.768e-02","-0.291"
"Esrp1","0.212","-2.958","0.385","-0.734"
"Psmd1","0.212","-2.957","0.143","-0.400"
"Psen1","0.214","-2.954","0.242","-0.522"
"Zfr2","0.218","-2.945","8.577e-02","-0.298"
"Gga3","0.219","-2.943","4.413e-02","-0.203"
"Med17","0.223","-2.937","0.137","-0.421"
"Hp1bp3","0.223","-2.936","0.355","-0.656"
"Psmc3","0.223","-2.934","9.672e-02","-0.295"
"Slc48a1","0.223","-2.934","0.365","-0.700"
"Ubc","0.226","-2.928","0.349","-0.645"
"Reep4","0.226","-2.926","0.220","-0.493"
"Slc38a6","0.228","-2.923","0.113","-0.338"
"Afmid","0.229","-2.917","0.147","-0.479"
"Arf1","0.229","-2.917","0.218","-0.553"
"Usp14","0.229","-2.917","0.131","-0.380"
"Dedd2","0.229","-2.916","0.153","-0.427"
"Chd4","0.229","-2.916","0.263","-0.570"
"Fbxo11","0.229","-2.916","0.118","-0.366"
"Golga1","0.230","-2.913","0.139","-0.403"
"Jak1","0.231","-2.912","0.151","-0.348"
"Srp72","0.232","-2.907","6.076e-02","-0.283"
"Irf9","0.232","-2.907","0.214","-0.432"
"Uso1","0.232","-2.905","0.435","-0.655"
"Atg7","0.232","-2.905","0.145","-0.435"
"Anxa5","0.232","-2.904","0.226","-0.509"
"Ehd4","0.232","-2.904","0.246","-0.548"
"Slc10a7","0.232","-2.904","0.155","-0.400"
"Srcin1","0.235","-2.898","6.822e-02","-0.266"
"Tcirg1","0.236","-2.895","0.221","-0.564"
"Psapl1","0.236","-2.895","0.648","-0.895"
"Ifi27","0.238","-2.891","0.402","-0.756"
"Clk2","0.238","-2.890","0.119","-0.378"
"Noc2l","0.238","-2.890","0.131","-0.370"
"Taf5l","0.238","-2.889","6.868e-02","-0.261"
"Aatf","0.238","-2.888","0.123","-0.343"
"Calml3","0.239","-2.885","0.200","-0.560"
"Tnk2","0.239","-2.884","0.243","-0.553"
"Ctnnd1","0.239","-2.884","0.708","-0.822"
"Tecr","0.239","-2.882","0.437","-0.669"
"Sptlc2","0.239","-2.882","0.313","-0.595"
"Clip4","0.240","-2.880","0.204","-0.527"
"Jrk","0.240","-2.879","0.201","-0.500"
"March5","0.240","-2.878","0.189","-0.464"
"Ovol1","0.242","-2.874","0.178","-0.495"
"Epha2","0.242","-2.873","0.170","-0.412"
"Nectin4","0.242","-2.873","0.205","-0.554"
"Rint1","0.242","-2.872","0.256","-0.526"
"Klrg2","0.242","-2.871","0.171","-0.401"
"Strn4","0.243","-2.869","0.227","-0.504"
"Bcas2","0.245","-2.864","0.163","-0.406"
"Zdhhc3","0.245","-2.864","0.340","-0.572"
"Hsp90ab1","0.246","-2.861","0.243","-0.597"
"Get4","0.248","-2.856","4.874e-02","-0.211"
"Taf1d","0.248","-2.856","0.245","-0.510"
"Tmem134","0.248","-2.855","0.125","-0.360"
"Slc44a2","0.248","-2.855","0.241","-0.543"
"Ranbp1","0.251","-2.851","9.117e-02","-0.313"
"Rbm39","0.252","-2.848","0.260","-0.604"
"Smchd1","0.254","-2.845","0.144","-0.433"
"Pias2","0.255","-2.842","0.193","-0.464"
"Mmgt1","0.255","-2.841","8.961e-02","-0.351"
"Olfr92","0.256","-2.839","3.818e-02","-0.229"
"Prmt2","0.257","-2.837","3.545e-02","-0.151"
"Pof1b","0.257","-2.837","0.193","-0.434"
"Ing4","0.260","-2.832","0.175","-0.405"
"Ppl","0.260","-2.831","0.347","-0.741"
"Ccdc9","0.262","-2.827","0.252","-0.513"
"Tsc22d2","0.263","-2.826","0.195","-0.506"
"Prpf4b","0.263","-2.824","0.320","-0.558"
"Ahnak","0.264","-2.822","0.744","-0.899"
"Ubl4a","0.267","-2.817","0.111","-0.358"
"Tmem165","0.267","-2.817","0.274","-0.542"
"Fgfbp1","0.268","-2.814","9.115e-02","-0.343"
"Dguok","0.268","-2.814","0.156","-0.399"
"Mafb","0.268","-2.813","0.162","-0.462"
"Por","0.269","-2.809","0.207","-0.479"
"Ube4a","0.269","-2.809","0.301","-0.567"
"Acaa2","0.269","-2.808","0.164","-0.471"
"Rp9","0.270","-2.807","0.149","-0.380"
"Dhx8","0.271","-2.805","0.138","-0.409"
"Adam21","0.271","-2.804","0.109","-0.362"
"Klk11","0.272","-2.802","0.289","-0.677"
"Nhlrc2","0.272","-2.800","0.183","-0.442"
"Ankrd52","0.272","-2.800","0.126","-0.376"
"Ptbp2","0.276","-2.793","0.162","-0.385"
"Mterf3","0.276","-2.793","0.188","-0.419"
"Rrm1","0.277","-2.790","0.113","-0.363"
"Cln5","0.277","-2.790","5.182e-02","-0.216"
"Luc7l2","0.277","-2.790","0.843","-0.900"
"Gja6","0.277","-2.789","4.987e-02","-0.209"
"Mink1","0.277","-2.789","0.567","-0.834"
"Limk2","0.277","-2.788","0.254","-0.537"
"Utp6","0.278","-2.785","0.208","-0.477"
"Robo2","0.280","-2.782","6.088e-02","-0.284"
"Kank1","0.280","-2.781","0.228","-0.523"
"Ces2f","0.281","-2.780","0.187","-0.465"
"Dvl1","0.282","-2.777","0.501","-0.762"
"Gpx2","0.284","-2.774","0.303","-0.621"
"Ephx3","0.284","-2.773","0.100","-0.321"
"Zswim8","0.285","-2.771","0.460","-0.705"
"Hnrnpk","0.287","-2.767","0.209","-0.410"
"Psme4","0.287","-2.767","0.293","-0.577"
"Irx5","0.288","-2.765","0.244","-0.545"
"Mfhas1","0.289","-2.764","0.223","-0.446"
"Pef1","0.290","-2.760","0.173","-0.477"
"Jmjd1c","0.290","-2.760","0.267","-0.494"
"Mlf2","0.290","-2.760","0.355","-0.648"
"Fxyd3","0.290","-2.759","0.409","-0.637"
"Gja1","0.293","-2.754","0.235","-0.628"
"Adat2","0.295","-2.752","8.299e-02","-0.282"
"Eef1b2","0.295","-2.750","0.364","-0.620"
"Sntb1","0.296","-2.749","0.388","-0.649"
"Becn1","0.296","-2.748","0.334","-0.581"
"Kdm3a","0.296","-2.747","0.190","-0.454"
"Mroh6","0.296","-2.747","0.103","-0.373"
"Jpt1","0.296","-2.745","0.520","-0.748"
"Tsku","0.296","-2.744","0.360","-0.665"
