"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Mtpn","0.563","-2.789","0.305","-0.222"
"BC031181","0.563","-2.787","0.368","-0.248"
"Zranb2","0.563","2.785","0.426","0.296"
"Hspa8","0.563","-2.785","1.254","-0.389"
"Igha","0.574","2.776","0.987","0.358"
"Vps13a","0.581","2.770","0.334","0.216"
"M6pr","0.581","-2.769","0.522","-0.266"
"Krit1","0.582","2.766","0.353","0.252"
"Nfil3","0.582","-2.766","0.134","-0.151"
"Celsr2","0.584","-2.761","0.130","-0.147"
"Cox8a","0.584","-2.761","1.156","-0.378"
"Pmm2","0.584","2.759","0.606","0.280"
"Slc49a4","0.584","2.758","0.538","0.296"
"Prpsap1","0.585","-2.755","0.544","-0.282"
"Tnni2","0.585","2.754","1.136","0.400"
"H2-Q6","0.585","-2.753","0.368","-0.275"
"Slc35a4","0.586","2.750","0.489","0.286"
"Il18rap","0.586","2.749","0.368","0.282"
"Sertad3","0.590","-2.745","0.288","-0.236"
"Cubn","0.592","-2.741","3.202e-02","-7.349e-02"
"Srsf3","0.592","-2.741","0.184","-0.191"
"Rap1gap","0.592","2.739","0.927","0.373"
"Myl12b","0.593","-2.737","0.321","-0.208"
"Rere","0.597","2.733","0.784","0.337"
"Ppox","0.597","2.732","0.550","0.273"
"Ndufb5","0.597","-2.729","0.328","-0.238"
"Hunk","0.597","2.729","0.143","0.189"
"Them6","0.598","-2.727","0.169","-0.161"
"Fry","0.598","2.726","0.202","0.193"
"Gpc1","0.601","-2.722","0.384","-0.257"
"Mmut","0.602","2.720","8.797e-02","0.131"
"Tubgcp6","0.605","2.717","0.286","0.204"
"Lmf1","0.606","-2.714","0.123","-0.130"
"Piga","0.606","2.713","0.175","0.185"
"Pcolce","0.607","-2.709","0.557","-0.323"
"Slc9a1","0.607","2.709","0.815","0.332"
"Slf2","0.607","2.707","0.450","0.271"
"Nadsyn1","0.607","2.707","0.336","0.226"
"Rab11fip2","0.607","2.704","0.184","0.195"
"Phf20l1","0.607","2.704","0.758","0.327"
"Sox9","0.607","2.703","0.498","0.354"
"Usp18","0.609","-2.699","8.547e-02","-0.122"
"Gnb1","0.609","-2.698","1.193","-0.370"
"Smc1a","0.609","2.696","0.525","0.260"
"Camsap3","0.609","-2.696","0.610","-0.298"
"Pi4kb","0.616","2.688","7.843e-02","0.123"
"Soat1","0.616","2.686","0.146","0.148"
"Tnfsf9","0.616","-2.685","0.112","-0.148"
"Perp","0.616","-2.685","0.817","-0.347"
"Tns2","0.616","2.685","0.217","0.199"
"Zscan26","0.616","2.684","0.556","0.310"
"Tfip11","0.627","-2.676","0.271","-0.198"
"Ptprn","0.629","-2.673","0.173","-0.212"
"Tmem173","0.632","2.671","0.126","0.146"
"Nlrx1","0.632","-2.669","2.481e-02","-4.889e-02"
"Gng10","0.632","-2.667","0.158","-0.140"
"Gnb2","0.634","-2.664","0.331","-0.217"
"Glyr1","0.634","2.664","0.879","0.308"
"Akp3","0.642","2.658","0.213","0.185"
"Phf6","0.642","2.657","0.155","0.150"
"Cct7","0.643","-2.655","0.378","-0.224"
"Chchd10","0.644","-2.653","0.352","-0.240"
"Fer1l6","0.648","2.649","0.192","0.203"
"Dusp7","0.648","-2.648","0.245","-0.213"
"Dnaja2","0.648","-2.647","0.863","-0.340"
"Dennd1c","0.649","2.645","0.136","0.172"
"Ctr9","0.649","2.644","0.379","0.236"
"Lgals12","0.655","2.639","0.433","0.310"
"Tnfrsf23","0.656","-2.637","0.334","-0.259"
"Vcl","0.663","-2.632","1.228","-0.378"
"Ank3","0.669","2.626","0.414","0.281"
"Serhl","0.669","2.625","0.139","0.169"
"Naa60","0.669","2.625","0.265","0.186"
"Sys1","0.682","-2.615","0.440","-0.253"
"Morc2a","0.682","2.614","0.581","0.273"
"Fabp3","0.682","-2.614","4.813e-02","-9.953e-02"
"Ppp5c","0.685","2.607","0.467","0.255"
"S100a11","0.685","-2.606","2.211","-0.338"
"Abca3","0.685","2.603","0.341","0.205"
"Hnrnpab","0.685","-2.601","1.023","-0.324"
"Srek1","0.685","2.601","0.760","0.321"
"Pmvk","0.685","-2.600","0.333","-0.232"
"Entpd2","0.685","-2.600","0.146","-0.152"
"Alox5ap","0.685","-2.598","5.900e-02","-0.110"
"Yif1a","0.685","-2.598","0.209","-0.173"
"Itpkc","0.685","-2.598","0.293","-0.234"
"Wdr45b","0.685","2.596","0.318","0.239"
"Rnh1","0.685","-2.596","0.952","-0.320"
"Sept1","0.685","2.596","9.726e-02","0.160"
"Kdm3b","0.685","2.595","1.037","0.321"
"Dynap","0.685","-2.593","1.712e-02","-3.930e-02"
"Ptgs2","0.685","-2.593","0.283","-0.382"
"Oit1","0.686","2.589","0.783","0.349"
"Hdgf","0.686","-2.588","1.080","-0.337"
"Jpt1","0.686","-2.587","1.436","-0.381"
"Hmbox1","0.686","2.584","0.332","0.207"
"Ap1ar","0.686","-2.584","0.515","-0.259"
"Cd9","0.686","-2.581","2.193","-0.416"
"Nfatc4","0.686","-2.580","1.753e-02","-4.025e-02"
"Snf8","0.686","-2.578","0.673","-0.278"
"Kat6a","0.686","2.578","0.356","0.218"
"Fam81a","0.686","-2.577","2.416e-02","-5.546e-02"
"Trim13","0.686","2.577","0.195","0.172"
"Pigr","0.686","2.576","0.941","0.490"
"Ston2","0.686","2.576","0.216","0.169"
"Myef2","0.686","2.575","0.697","0.307"
"Rbl1","0.687","2.574","0.219","0.198"
"Flvcr1","0.688","-2.572","0.118","-0.126"
"Alkbh7","0.688","2.571","0.156","0.151"
"Samd12","0.691","2.568","0.383","0.274"
"Mtf1","0.694","-2.564","0.174","-0.171"
"Gramd4","0.694","2.563","0.425","0.248"
"Mtx2","0.694","2.563","0.415","0.247"
"Mapk11","0.695","2.562","0.288","0.224"
"Purb","0.701","-2.556","1.382","-0.357"
"Taf5l","0.701","-2.554","0.171","-0.165"
"Eif4g1","0.701","-2.552","0.408","-0.220"
"Myo5b","0.701","2.552","0.857","0.313"
"Gga3","0.701","2.550","0.169","0.154"
"Appl2","0.701","2.549","0.665","0.337"
"Lipg","0.701","-2.549","1.581e-02","-3.630e-02"
"Rtn4ip1","0.701","2.548","0.241","0.197"
"Vdac2","0.701","-2.547","0.468","-0.249"
"Naa80","0.701","-2.547","0.392","-0.246"
"Vasp","0.705","-2.544","1.758","-0.331"
"Fkbp9","0.710","-2.540","0.666","-0.293"
"Pcdhgb5","0.714","2.537","0.105","0.124"
"Atp9b","0.718","2.534","0.650","0.278"
"Cand1","0.734","-2.525","0.286","-0.220"
"Abraxas1","0.736","2.521","0.118","0.163"
"Ehbp1","0.736","2.519","0.199","0.195"
"Rpp25","0.736","-2.519","0.105","-0.133"
"Oser1","0.736","-2.518","0.503","-0.246"
"Efhd2","0.736","-2.517","0.972","-0.321"
"Scd2","0.736","2.517","0.440","0.286"
"Tmem164","0.740","-2.511","0.517","-0.256"
"Brms1l","0.740","2.511","0.370","0.245"
"Prkci","0.740","-2.509","0.545","-0.251"
"Lmf2","0.740","-2.508","0.199","-0.158"
"Qtrt2","0.740","2.508","0.337","0.225"
"Akap1","0.740","2.508","0.102","0.104"
"Slc35a1","0.740","2.507","0.308","0.208"
"Rnf216","0.741","2.505","0.320","0.195"
"Sestd1","0.741","2.505","0.666","0.323"
"Ncor1","0.741","2.504","0.590","0.266"
"Sod2","0.743","-2.501","0.208","-0.167"
"Vnn1","0.743","-2.501","0.433","-0.323"
"Bst2","0.755","-2.493","0.225","-0.226"
"Gmppa","0.755","2.492","0.254","0.173"
"Sod1","0.755","-2.492","0.559","-0.246"
