"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Ctsc","2.491e-02","3.852","0.449","0.423"
"Hist1h1e","2.537e-02","-3.845","0.478","-0.359"
"Vsig2","2.566e-02","3.840","1.543","0.409"
"Btbd7","2.647e-02","3.830","0.171","0.202"
"Chit1","2.727e-02","3.819","0.555","0.448"
"Taf1a","2.727e-02","3.818","0.240","0.287"
"Akr1a1","2.872e-02","-3.802","1.712","-0.369"
"Klf6","2.966e-02","3.791","1.117","0.477"
"Lzts3","2.966e-02","3.789","4.873e-02","0.124"
"Vdac2","3.043e-02","-3.780","0.718","-0.349"
"Dsg2","3.049e-02","-3.778","1.894","-0.361"
"Reg3b","3.057e-02","3.775","5.059e-02","0.134"
"Jdp2","3.138e-02","3.766","2.800e-02","9.305e-02"
"Dedd2","3.146e-02","3.763","0.840","0.384"
"Prr15","3.146e-02","3.762","0.110","0.176"
"Creb5","3.173e-02","3.758","0.219","0.279"
"Mcoln1","3.179e-02","3.754","0.178","0.252"
"Gtf3c2","3.179e-02","3.754","0.327","0.286"
"Ogfr","3.198e-02","-3.750","0.455","-0.340"
"Tmprss11e","3.228e-02","3.746","5.716e-02","0.150"
"Nr1d2","3.256e-02","3.742","5.530e-02","0.117"
"Itprid2","3.312e-02","3.735","1.825","0.367"
"Rsad1","3.312e-02","3.734","0.166","0.223"
"Spop","3.368e-02","3.727","0.451","0.315"
"Nupr1","3.418e-02","3.719","1.860","0.941"
"Nr1d1","3.418e-02","3.717","0.298","0.306"
"Tmem176b","3.418e-02","3.717","0.118","0.200"
"Atox1","3.418e-02","-3.717","0.479","-0.359"
"Smyd3","3.418e-02","3.715","0.143","0.215"
"Pigr","3.432e-02","3.712","0.158","0.309"
"Gsta4","3.432e-02","-3.711","3.083","-0.560"
"Ier2","3.432e-02","3.709","0.500","0.392"
"Wdr45b","3.494e-02","3.703","5.926e-02","0.109"
"Frk","3.627e-02","3.690","0.256","0.257"
"Zfp809","3.776e-02","3.676","0.127","0.169"
"Ppfia4","3.776e-02","3.675","3.379e-02","9.024e-02"
"Phf1","3.776e-02","3.673","0.203","0.220"
"Bak1","3.776e-02","-3.672","0.805","-0.343"
"Sema3e","3.776e-02","3.671","1.121","0.479"
"Bnip3","3.776e-02","3.670","0.342","0.294"
"Rnf31","3.870e-02","-3.661","0.349","-0.323"
"Cst3","3.926e-02","-3.655","2.037","-0.626"
"Rev1","3.950e-02","3.652","3.724e-02","9.060e-02"
"Mob1a","4.008e-02","3.646","0.298","0.243"
"Tspyl1","4.067e-02","3.640","0.528","0.326"
"Cldn7","4.067e-02","3.639","0.100","0.165"
"Rap2c","4.067e-02","-3.638","0.246","-0.274"
"Pdpr","4.095e-02","3.634","0.119","0.174"
"Ltc4s","4.107e-02","3.632","0.128","0.206"
"Stambpl1","4.107e-02","3.631","0.159","0.199"
"Serinc5","4.121e-02","3.628","0.458","0.328"
"Fam83h","4.166e-02","-3.624","0.639","-0.338"
"Cd164","4.180e-02","-3.620","1.165","-0.393"
"Igdcc4","4.180e-02","3.620","0.212","0.232"
"Cant1","4.279e-02","-3.612","1.243","-0.344"
"Tmem183a","4.377e-02","3.604","0.812","0.380"
"Pon2","4.417e-02","-3.599","1.162","-0.398"
"Chac1","4.513e-02","3.591","0.118","0.263"
"mt-Co3","4.513e-02","3.590","1.581","0.547"
"Cep70","4.818e-02","3.570","3.939e-02","0.104"
"Prom2","4.900e-02","3.562","0.131","0.194"
"Cnot2","4.900e-02","3.562","0.185","0.207"
"Cdkn1a","4.900e-02","3.558","2.365","0.439"
"Phyh","4.900e-02","-3.557","0.981","-0.387"
"Igkc","4.900e-02","3.556","0.217","0.292"
"Il33","4.900e-02","-3.556","0.324","-0.424"
"Zfp629","4.900e-02","3.555","6.389e-02","0.128"
"Dcaf17","4.958e-02","3.551","0.115","0.183"
"Gmppb","5.006e-02","-3.546","0.294","-0.241"
"Clps","5.056e-02","-3.542","2.895","-0.452"
"Irgm1","5.076e-02","-3.540","0.125","-0.179"
"Tcf7l1","5.144e-02","3.534","2.802e-02","8.295e-02"
"Trafd1","5.187e-02","-3.529","0.483","-0.366"
"Vegfa","5.187e-02","3.529","0.553","0.401"
"Oas1g","5.253e-02","-3.524","0.244","-0.277"
"Dhx40","5.371e-02","3.516","0.347","0.315"
"C1galt1","5.372e-02","3.515","0.841","0.370"
"Anp32e","5.372e-02","3.514","8.531e-02","0.133"
"Mgat4a","5.532e-02","3.504","0.511","0.337"
"Adamts9","5.793e-02","3.489","3.461e-02","8.041e-02"
"Parp14","5.896e-02","-3.481","0.416","-0.349"
"Tmem44","5.896e-02","3.480","0.213","0.231"
"Icosl","5.896e-02","3.480","0.364","0.282"
"Tbcb","6.262e-02","-3.460","0.233","-0.209"
"Wdr36","6.445e-02","3.451","5.970e-02","0.120"
"Gsdma2","6.448e-02","-3.449","2.558","-0.648"
"Epop","6.448e-02","3.448","1.297","0.473"
"Hacd3","6.493e-02","3.445","0.748","0.373"
"Bccip","6.544e-02","3.441","0.115","0.162"
"Grtp1","6.556e-02","-3.438","0.679","-0.354"
"Tfg","6.556e-02","-3.438","0.176","-0.194"
"Dnaja4","6.561e-02","3.436","3.980e-02","0.109"
"Kcnq1","6.561e-02","3.434","7.024e-02","0.137"
"H2-D1","6.561e-02","-3.433","1.222","-0.333"
"Sesn2","6.561e-02","3.433","3.869e-02","9.768e-02"
"Tuba1c","6.627e-02","-3.427","1.147","-0.376"
"Slc49a4","6.627e-02","3.427","0.434","0.304"
"Tff2","6.666e-02","-3.424","2.474","-0.658"
"Gipc2","6.666e-02","-3.423","0.883","-0.356"
"Chchd5","6.666e-02","3.421","6.026e-02","0.134"
"Ccdc22","6.666e-02","3.421","6.042e-02","0.140"
"Schip1","6.667e-02","3.419","2.440e-02","6.844e-02"
"Usp9x","6.667e-02","3.418","0.341","0.256"
"Ltf","6.958e-02","3.404","5.841e-02","0.132"
"Ccng2","6.971e-02","3.402","0.956","0.383"
"Slc3a2","7.008e-02","3.400","0.781","0.380"
"Slc26a9","7.183e-02","3.391","2.112","0.678"
"Arl14","7.219e-02","3.387","1.739","0.498"
"Uba7","7.219e-02","-3.386","0.992","-0.460"
"Eif2ak2","7.219e-02","-3.386","0.373","-0.294"
"Hnrnpm","7.330e-02","3.379","0.609","0.346"
"Ifit1bl1","7.330e-02","-3.379","0.566","-0.516"
