"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Polr3c","0.928","-2.504","0.203","-0.237"
"Irf2bp2","0.936","-2.499","1.424","-0.534"
"Pml","0.937","-2.497","0.259","-0.264"
"Plekha8","0.938","-2.496","0.137","-0.192"
"Uba3","0.938","-2.494","0.335","-0.295"
"Stim2","0.938","-2.492","8.730e-02","-0.130"
"B3galt6","0.938","-2.490","9.051e-02","-0.164"
"Cpne3","0.938","-2.489","0.177","-0.233"
"Psma3","0.938","-2.488","7.577e-02","-0.137"
"Cst3","0.938","-2.485","1.020","-0.512"
"Pde9a","0.938","2.484","7.705e-02","0.172"
"Tmem147","0.938","-2.484","0.296","-0.267"
"Thumpd1","0.938","-2.484","7.450e-02","-0.119"
"Napepld","0.939","-2.482","0.217","-0.242"
"Pheta1","0.939","-2.481","0.140","-0.196"
"Alb","0.939","-2.479","0.155","-0.223"
"Prss8","0.939","-2.478","0.280","-0.266"
"Stx6","0.939","-2.477","9.747e-02","-0.161"
"Spag7","0.939","-2.476","0.333","-0.306"
"Napa","0.944","-2.473","0.521","-0.372"
"Marc2","0.945","-2.471","0.542","-0.356"
"Ruvbl1","0.946","-2.469","0.136","-0.194"
"Nrbp2","0.946","-2.467","0.892","-0.446"
"Nupr1","0.946","2.466","1.003","0.635"
"Sdf2l1","0.946","-2.466","0.396","-0.343"
"Ccdc127","0.949","-2.462","0.113","-0.163"
"Naip2","0.949","-2.461","0.209","-0.224"
"Cct4","0.949","-2.459","0.148","-0.194"
"Opa3","0.949","-2.458","0.156","-0.206"
"Shmt2","0.949","-2.456","0.222","-0.256"
"Map3k8","0.949","2.454","0.176","0.232"
"Plagl1","0.949","2.454","0.108","0.187"
"Atg4d","0.949","-2.451","0.424","-0.317"
"Nbeal1","0.949","-2.450","0.351","-0.295"
"Baz1a","0.949","-2.450","0.284","-0.277"
"Rcbtb1","0.949","-2.445","0.650","-0.402"
"Kcne3","0.949","-2.445","1.083","-0.524"
"Cmtm4","0.949","-2.445","0.309","-0.279"
"Vil1","0.949","-2.444","0.592","-0.354"
"Sgpp2","0.949","-2.440","0.358","-0.337"
"Ttc3","0.949","-2.440","0.168","-0.222"
"Atrn","0.949","2.439","0.367","0.324"
"Rnf133","0.949","-2.439","8.927e-02","-0.162"
"Tlnrd1","0.949","-2.438","0.546","-0.347"
"Cdk18","0.949","-2.437","0.622","-0.378"
"Exosc4","0.949","-2.434","0.187","-0.251"
"Zfp131","0.949","-2.433","0.342","-0.304"
"Pygo2","0.949","-2.432","0.188","-0.208"
"Ddx21","0.949","-2.432","0.553","-0.386"
"Alpk1","0.949","-2.432","0.156","-0.220"
"Krt8","0.949","-2.429","1.881","-0.572"
"Cdkn1a","0.949","2.428","0.280","0.311"
"Xpo1","0.949","-2.426","0.255","-0.240"
"Chmp1a","0.949","-2.426","0.247","-0.245"
"Hspa8","0.949","-2.425","0.440","-0.332"
"Acer2","0.949","-2.423","0.109","-0.173"
"Sox9","0.949","-2.423","1.344","-0.521"
"Ascc2","0.949","-2.420","0.166","-0.211"
"Dcun1d2","0.949","-2.420","0.151","-0.219"
"Skp1a","0.949","-2.419","0.210","-0.232"
"Tcf12","0.949","2.418","0.577","0.425"
"Xpc","0.949","2.418","0.116","0.196"
"Zfp592","0.949","-2.418","0.218","-0.246"
"Pitpnc1","0.949","-2.418","0.340","-0.329"
"Atrx","0.949","-2.418","0.437","-0.350"
"B2m","0.954","-2.414","0.102","-0.138"
"Wwox","0.954","-2.413","0.620","-0.392"
"Commd6","0.957","-2.411","8.250e-02","-0.130"
"Psmf1","0.957","-2.409","0.157","-0.208"
"Ttr","0.957","-2.409","0.786","-0.451"
"Ephb4","0.960","-2.407","0.384","-0.305"
"Pwp2","0.967","-2.402","8.169e-02","-0.148"
"Zfpm1","0.967","-2.402","0.329","-0.304"
"Phf5a","0.967","-2.401","0.171","-0.206"
"Fut2","0.969","-2.399","0.813","-0.426"
"Serpinb6a","0.974","-2.395","0.212","-0.222"
"Rfk","0.974","-2.393","0.169","-0.178"
"Gnai3","0.974","-2.393","0.288","-0.252"
"Lgals3bp","0.974","-2.392","0.781","-0.467"
"Slc36a1","0.976","-2.389","0.339","-0.303"
"Ormdl2","0.976","-2.388","6.469e-02","-0.117"
"Igip","0.976","-2.387","0.130","-0.183"
"Lgals8","0.976","2.387","0.342","0.316"
"Sptssa","0.976","-2.386","0.191","-0.202"
"Ube2g2","0.976","-2.385","0.245","-0.235"
"S100a6","0.976","-2.385","0.719","-0.455"
"Stard10","0.977","-2.382","1.744","-0.473"
"Fam149b","0.977","-2.382","0.283","-0.262"
"Ifi27","0.978","-2.380","0.231","-0.256"
"Ssh3","0.979","-2.379","1.038","-0.439"
"Chia1","0.981","-2.377","1.653","-0.619"
"Dars2","0.981","-2.376","0.103","-0.170"
"Gid8","0.981","-2.375","0.292","-0.282"
"Smc1a","0.981","-2.370","0.351","-0.309"
"Casp7","0.981","2.367","0.230","0.251"
"Sbno2","0.981","-2.365","0.491","-0.350"
"Sgsh","0.981","-2.364","0.110","-0.152"
"Irf8","0.981","-2.364","0.211","-0.246"
"Ldlrad3","0.981","2.364","0.189","0.228"
"Dlst","0.981","-2.364","0.683","-0.376"
