"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Spats2l","1","-2.282","5.365e-02","-0.108"
"Zfp692","1","2.280","0.472","0.342"
"Cr1l","1","-2.277","6.740e-02","-0.136"
"Ric1","1","2.277","0.441","0.338"
"Slc10a7","1","2.271","0.242","0.249"
"Bola2","1","-2.270","0.112","-0.140"
"Virma","1","-2.270","6.652e-02","-0.134"
"Lgals2","1","-2.267","0.104","-0.150"
"Trmt12","1","-2.267","0.101","-0.151"
"Dnaaf3","1","2.264","0.265","0.275"
"Kmt2a","1","2.264","0.363","0.315"
"Ctc1","1","-2.262","4.969e-02","-0.100"
"Tef","1","2.261","0.428","0.329"
"Pdhb","1","2.256","0.322","0.288"
"Rassf7","1","-2.255","0.230","-0.244"
"Igsf23","1","-2.255","3.882e-02","-7.832e-02"
"Bbx","1","2.255","0.133","0.200"
"Phip","1","2.252","0.210","0.263"
"Dynll2","1","-2.252","0.179","-0.192"
"Atf5","1","-2.251","4.703e-02","-9.489e-02"
"Wdr83os","1","-2.248","0.269","-0.241"
"Htt","1","2.245","0.189","0.234"
"Ahnak2","1","-2.245","3.907e-02","-7.882e-02"
"Cox7a2","1","-2.245","5.105e-02","-9.573e-02"
"Purg","1","2.243","7.334e-02","0.145"
"Pla2g10","1","-2.243","4.355e-02","-8.787e-02"
"Ncoa7","1","2.241","0.124","0.205"
"Camk2n2","1","-2.240","4.814e-02","-9.713e-02"
"Slc25a16","1","2.237","0.179","0.241"
"Rock2","1","2.235","0.220","0.263"
"Snrpc","1","-2.232","5.569e-02","-0.112"
"Sec24d","1","-2.228","0.157","-0.189"
"Nmt1","1","2.228","0.356","0.314"
"Malt1","1","-2.227","5.656e-02","-0.114"
"Zcchc3","1","2.225","0.126","0.188"
"Xpnpep3","1","-2.224","0.124","-0.173"
"Itgb1","1","-2.224","0.231","-0.236"
"Vps33b","1","2.222","0.175","0.235"
"Ywhah","1","-2.220","4.537e-02","-9.155e-02"
"Pkd2","1","-2.217","0.241","-0.246"
"Tomm22","1","-2.216","5.994e-02","-0.114"
"Nck1","1","2.216","0.326","0.294"
"Map2k7","1","2.216","0.597","0.381"
"Abce1","1","-2.214","0.158","-0.186"
"Crebzf","1","2.211","1.128","0.454"
"Thoc5","1","-2.210","0.198","-0.212"
"Atp6v1f","1","-2.208","4.828e-02","-8.415e-02"
"Zc3h7a","1","2.207","0.883","0.412"
"Mical2","1","2.206","0.744","0.381"
"Ankle2","1","-2.206","5.981e-02","-0.121"
"Wtap","1","2.205","0.281","0.270"
"Dusp6","1","-2.201","5.782e-02","-0.109"
"Map2k2","1","2.201","0.669","0.388"
"Mettl17","1","2.199","0.242","0.273"
"Igfbp6","1","-2.198","5.100e-02","-0.103"
"Slc22a5","1","-2.198","4.255e-02","-8.584e-02"
"Cab39l","1","-2.196","5.664e-02","-0.114"
"Fam32a","1","-2.193","0.207","-0.213"
"Zranb2","1","2.193","0.394","0.309"
"Isg15","1","-2.192","4.525e-02","-9.130e-02"
"Ap2b1","1","-2.191","0.172","-0.207"
"Pdlim7","1","-2.190","0.115","-0.168"
"Mpv17l","1","-2.190","4.520e-02","-9.120e-02"
"Zfp568","1","-2.189","5.150e-02","-0.104"
"Snx21","1","-2.187","0.111","-0.164"
"Gkn1","1","-2.187","2.788","-0.428"
"Med23","1","2.186","0.153","0.221"
"Mks1","1","-2.186","5.458e-02","-0.110"
"Sertad3","1","-2.183","3.377e-02","-6.813e-02"
"Khk","1","-2.183","6.413e-02","-0.129"
"Bri3","1","2.181","0.726","0.378"
"Cds2","1","2.180","0.134","0.197"
"Cryzl2","1","2.180","9.100e-02","0.166"
"Zbtb43","1","-2.177","8.946e-02","-0.133"
"Timm17a","1","-2.177","4.368e-02","-8.813e-02"
"Arfgef2","1","2.176","0.306","0.280"
"Carhsp1","1","-2.176","0.160","-0.190"
"Clta","1","2.176","0.416","0.296"
"Chchd2","1","-2.175","0.166","-0.176"
"Ncoa1","1","-2.173","0.169","-0.190"
"Tgfb1i1","1","-2.172","5.736e-02","-0.116"
"Tmx2","1","-2.172","9.618e-02","-0.147"
"Thyn1","1","2.171","0.182","0.228"
"Ccndbp1","1","2.171","0.217","0.232"
"Canx","1","-2.170","0.215","-0.214"
"Col4a3bp","1","2.170","0.474","0.313"
"Lyst","1","2.169","0.336","0.297"
"Stard3","1","2.169","0.294","0.255"
"Recql","1","2.169","9.370e-02","0.174"
"Fhl1","1","-2.169","0.158","-0.181"
"Pon2","1","-2.168","0.108","-0.148"
"Cad","1","-2.167","0.258","-0.242"
"Cdc42ep4","1","2.166","9.566e-02","0.172"
"Plcd1","1","2.165","0.130","0.189"
"Vps9d1","1","2.165","0.130","0.197"
"Immt","1","2.163","0.491","0.329"
"Nckap1l","1","-2.163","5.064e-02","-0.102"
"Cd74","1","-2.162","0.341","-0.266"
"Fchsd2","1","2.162","0.556","0.349"
"Sirt5","1","2.161","0.154","0.203"
"Pkn1","1","2.161","0.529","0.343"
"Grhl2","1","-2.161","0.253","-0.243"
"Cyba","1","-2.160","3.819e-02","-7.705e-02"
"Gsdma2","1","-2.159","0.230","-0.233"
"Ovol2","1","2.157","0.126","0.170"
"Zfp329","1","-2.155","0.187","-0.207"
"Wars","1","2.154","0.207","0.218"
"Bin1","1","2.153","0.479","0.327"
"Ccnl2","1","2.152","1.889","0.461"
"Zbtb18","1","2.152","0.460","0.326"
"Pum2","1","-2.152","0.195","-0.206"
"Kcnk1","1","-2.151","0.209","-0.200"
"Fkbp4","1","-2.150","0.210","-0.231"
"Pycrl","1","-2.146","0.218","-0.226"
"Actr2","1","-2.146","6.010e-02","-0.114"
"Arhgap21","1","2.145","0.250","0.247"
"Hnrnpu","1","2.144","1.035","0.420"
"Rab3d","1","2.144","0.605","0.348"
"Itpkb","1","-2.143","0.319","-0.274"
"Nrbp1","1","2.143","0.358","0.299"
"Mecom","1","2.138","1.433","0.471"
"Akap7","1","2.138","0.149","0.224"
"Actn4","1","-2.136","0.630","-0.349"
"Tmem147","1","-2.135","0.527","-0.307"
"Oser1","1","2.134","0.126","0.185"
"Fbxo25","1","-2.134","0.176","-0.209"
"Pabpn1","1","2.133","2.199","0.469"
"Eppk1","1","-2.133","0.368","-0.278"
"Mrfap1","1","-2.132","0.228","-0.202"
"Iqsec2","1","2.130","0.149","0.212"
"Pigu","1","2.129","9.754e-02","0.158"
"Lgals3","1","-2.128","0.107","-0.142"
"Dcbld1","1","2.127","0.176","0.224"
"Ndufb8","1","-2.127","0.338","-0.260"
"Dpy30","1","-2.127","8.392e-02","-0.122"
"Acaa1a","1","2.126","0.179","0.225"
"Lrrc8a","1","-2.126","0.119","-0.161"
"Map2k1","1","-2.125","5.383e-02","-0.109"
"Ier5","1","-2.125","6.458e-02","-0.130"
"Cd164","1","-2.125","0.323","-0.251"
"Gcn1","1","2.124","0.689","0.359"
"Dennd6a","1","2.123","0.155","0.204"
"Atxn3","1","2.121","0.153","0.201"
"Birc3","1","-2.120","5.097e-02","-9.557e-02"
"Myl9","1","-2.120","4.380e-02","-8.111e-02"
"Cyp2j6","1","-2.120","4.817e-02","-9.718e-02"
"Maged1","1","2.117","0.767","0.392"
"Crim1","1","-2.116","5.755e-02","-0.116"
"Fbxo8","1","-2.116","0.131","-0.179"
"Ccdc77","1","-2.116","4.675e-02","-9.431e-02"
"Rbm24","1","-2.115","5.627e-02","-0.114"
"Pard3b","1","2.114","0.376","0.289"
"Nagpa","1","-2.114","3.689e-02","-7.442e-02"
"Proser3","1","2.111","0.195","0.220"
"Ccdc141","1","2.110","0.602","0.356"
"Sptssb","1","-2.109","4.401e-02","-8.878e-02"
"Cox4i1","1","-2.108","0.121","-0.149"
"Tusc3","1","2.108","0.189","0.203"
"Ppp3r1","1","2.106","0.135","0.183"
"Eva1b","1","2.105","0.131","0.203"
"Ilf2","1","2.104","0.175","0.202"
"Marveld3","1","-2.103","0.233","-0.223"
"Sema3e","1","-2.102","3.867e-02","-7.801e-02"
"Preb","1","2.101","1.185","0.428"
"Map11","1","-2.101","0.639","-0.362"
"Arhgef37","1","-2.100","0.395","-0.289"
"Rnf25","1","2.097","0.214","0.231"
"Slc52a2","1","-2.096","0.157","-0.185"
"Drap1","1","2.094","0.436","0.320"
"Selenon","1","-2.094","4.385e-02","-8.848e-02"
"Fastk","1","-2.093","0.972","-0.396"
"Cep85","1","2.092","0.358","0.296"
"Atp4a","1","-2.091","1.264","-0.518"
"Plk3","1","-2.091","3.865e-02","-7.798e-02"
"Teddm3","1","-2.090","4.373e-02","-8.822e-02"
"Peli1","1","-2.089","0.155","-0.182"
"Macrod2","1","2.088","0.133","0.182"
"Emg1","1","2.088","0.341","0.281"
"Sept1","1","-2.088","6.847e-02","-0.138"
"Arhgef1","1","2.087","0.970","0.414"
"Mycbp2","1","2.087","0.452","0.308"
"Eml3","1","2.085","0.250","0.233"
"Slc9a4","1","2.084","0.480","0.340"
"Rspry1","1","-2.084","0.256","-0.242"
"Selenow","1","2.082","0.220","0.220"
"Ifi27l2a","1","-2.080","5.048e-02","-9.459e-02"
"Ythdc2","1","-2.079","4.077e-02","-8.226e-02"
"Atp5mpl","1","-2.076","6.458e-02","-9.869e-02"
"Mecp2","1","2.076","0.194","0.233"
"Mterf3","1","-2.074","0.202","-0.207"
"Tmem102","1","-2.073","0.147","-0.169"
"Rab6a","1","-2.071","0.262","-0.230"
"Gpatch2","1","2.071","0.365","0.295"
"Lrrc14","1","-2.071","6.329e-02","-0.103"
"Parp16","1","2.070","0.238","0.242"
"Ift20","1","2.068","0.494","0.316"
"Zfp335","1","2.068","0.381","0.292"
"Fbxo30","1","-2.066","6.073e-02","-9.819e-02"
"Chchd10","1","-2.066","0.314","-0.231"
"Smco4","1","2.065","0.105","0.162"
"Ercc5","1","-2.065","0.123","-0.154"
"Ndufaf1","1","-2.065","5.630e-02","-0.114"
"Mat2b","1","2.064","0.259","0.246"
"Capn13","1","-2.063","3.807e-02","-7.681e-02"
"Gatc","1","-2.062","4.924e-02","-9.934e-02"
"Nme2","1","-2.061","0.105","-0.144"
"Ern1","1","2.059","0.555","0.337"
"Tiparp","1","-2.059","6.722e-02","-0.136"
"Arpc3","1","-2.059","4.869e-02","-9.823e-02"
"Ipo13","1","-2.058","0.170","-0.201"
"Icmt","1","-2.058","0.222","-0.221"
"Sdc4","1","-2.057","0.326","-0.243"
"Itga2b","1","-2.057","5.448e-02","-0.110"
"Spty2d1","1","-2.056","0.209","-0.213"
"Coa7","1","2.053","6.942e-02","0.125"
"Plag1","1","-2.053","5.597e-02","-0.113"
"Afap1","1","2.053","8.948e-02","0.150"
"Tdrd7","1","-2.052","4.696e-02","-9.474e-02"
"Cul4b","1","2.051","0.110","0.164"
"Ube2d2a","1","-2.050","0.265","-0.237"
"Slf1","1","-2.049","5.118e-02","-0.103"
"Exoc3","1","2.047","0.169","0.199"
"Tctn1","1","-2.046","4.593e-02","-9.267e-02"
"Slc5a8","1","-2.046","8.730e-02","-0.129"
"Mprip","1","2.043","1.499","0.435"
"Rtf2","1","-2.043","6.829e-02","-0.106"
"Tpcn2","1","-2.042","0.134","-0.164"
"Mon1a","1","2.042","0.202","0.213"
"Pik3cd","1","-2.041","2.192e-02","-4.422e-02"
"Stau1","1","2.039","0.181","0.206"
"Zbtb5","1","2.037","7.959e-02","0.140"
"Eml1","1","-2.037","0.106","-0.141"
"Helz","1","2.037","0.435","0.300"
"Apbb2","1","2.036","0.109","0.156"
"Hdac7","1","2.036","6.530e-02","0.129"
"Rbm3","1","2.036","0.473","0.318"
"Ccnj","1","2.035","9.495e-02","0.156"
"Fbxo16","1","-2.035","4.792e-02","-9.667e-02"
"Irx3","1","2.035","6.397e-02","0.127"
"Mia","1","-2.035","2.184e-02","-4.406e-02"
"Scnn1a","1","-2.035","4.881e-02","-9.848e-02"
"Ift57","1","-2.034","3.528e-02","-7.117e-02"
"Myom1","1","2.033","6.486e-02","0.129"
"Mfsd5","1","-2.033","4.555e-02","-9.189e-02"
"Rnf225","1","2.032","6.222e-02","0.123"
"Rnf123","1","-2.031","0.413","-0.278"
"H2-Ab1","1","-2.030","8.912e-02","-0.113"
"Ppp4r3a","1","-2.030","0.167","-0.191"
"Tmem81","1","2.029","6.629e-02","0.131"
"Pced1a","1","2.029","0.257","0.251"
"Zfp526","1","-2.027","3.179e-02","-6.414e-02"
"Dennd1c","1","-2.027","3.852e-02","-7.772e-02"
