"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Fam120b",0.33599697696132,0.502182075589133,3.17689749769693,0.001983726785546,0.370665184369816,-4.06110958817113
"Relch",0.256235702016422,0.41701676110886,3.17376361828849,0.00200325235268582,0.370679481454748,-4.07023312405687
"mt-Nd1",0.650717511184743,1.49862310749157,3.16837107103368,0.00203727015756409,0.373349345509749,-4.08591502694265
"Lypd3",-0.219567184261884,0.121061927525204,-3.15064447083094,0.00215292335449051,0.390786344887948,-4.13731164689047
"Tcp1",-0.368702840855999,0.862192030155281,-3.14199150883534,0.00221157053473884,0.395633720610579,-4.16231439903471
"Psapl1",0.354127857271947,0.665713028723181,3.13881737350039,0.00223345396891074,0.395633720610579,-4.17147194911225
"Fam129b",-0.413402041428745,0.914907972976443,-3.13717446391267,0.00224485962093788,0.395633720610579,-4.17620885180682
"Ndufa8",-0.404538699514795,0.873627597192423,-3.1346255950926,0.00226266202563372,0.395633720610579,-4.18355382842425
"mt-Nd6",0.690725317981149,3.36670002069446,3.12293392872476,0.00234601664851498,0.406479375491336,-4.2171824825324
"Arpc1b",-0.383768026247449,1.24606212028248,-3.1198698042654,0.00236832930991231,0.40664854340197,-4.22597873768186
"Klc3",-0.293380520697892,0.437103844843682,-3.10899128279402,0.00244914853470063,0.416770731454101,-4.25715063649862
"Gsk3a",-0.35672964564293,0.752635551808743,-3.09891494478208,0.00252628652425203,0.426092874917871,-4.28594398589725
"Vti1a",0.388239526321108,0.967846031393907,3.08527988923588,0.0026342622996597,0.428895874068888,-4.32478380025958
"Shtn1",0.336552656539801,1.22569755653222,3.08473238877309,0.00263868609696837,0.428895874068888,-4.32634041975031
"Tpt1",-0.351569010887182,0.970489928263877,-3.08017907504613,0.00267574475457562,0.428895874068888,-4.33927728636566
"Togaram1",-0.285018217697744,0.423653920893686,-3.07814130278869,0.00269248573845307,0.428895874068888,-4.34506189053851
