"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"30",1.21965877730369e-78,1.96758778943152,0.822,0.103,2.3245476636631e-74,"5","Itga2"
"31",1.93058763253748e-58,1.95518431777865,0.743,0.12,3.67950696885319e-54,"5","Il1rn"
"32",8.99417333414018e-65,1.94903682663886,0.683,0.076,1.71419949575378e-60,"5","Plekhs1"
"33",5.56493158884148e-44,1.94360084201574,0.96,0.591,1.0606203115173e-39,"5","Anxa3"
"34",1.53625675417949e-46,1.92067086307404,0.772,0.176,2.9279517477907e-42,"5","Plat"
"35",1.1819967032938e-37,1.85938962980352,0.97,0.512,2.25276751680766e-33,"5","Anxa2"
"36",9.97890235943635e-122,1.8391508284985,0.703,0.016,1.90187900068497e-117,"5","Cdkn2a"
"37",1.87986792527343e-56,1.78050000669513,0.743,0.134,3.58284027877864e-52,"5","Atg9b"
"38",6.54345620926125e-76,1.76389623840639,0.752,0.081,1.2471173189231e-71,"5","Aspa"
"39",1.24825448644884e-47,1.75349199671263,0.871,0.303,2.37904822572285e-43,"5","Rtn4"
"40",3.86648389250534e-65,1.75236961032412,0.901,0.184,7.36913165072593e-61,"5","Flna"
"41",1.61015021136851e-24,1.69171574340121,0.347,0.056,3.06878528784724e-20,"5","Depp1"
"42",5.68006682349063e-40,1.66863948610292,0.842,0.298,1.08256393588908e-35,"5","Npm1"
"43",1.13573404090203e-82,1.66704436212578,0.703,0.053,2.16459550855518e-78,"5","Clec2f"
"44",3.58083367635276e-47,1.61498853431928,0.772,0.202,6.82471090376072e-43,"5","Tspan14"
"45",7.78035121630305e-40,1.60289247321848,0.792,0.258,1.4828571383152e-35,"5","Cavin1"
"46",4.99387843874967e-83,1.59907214076301,0.624,0.036,9.51783291641299e-79,"5","Sh2d4b"
"47",5.53313103429671e-34,1.5854447460784,0.99,0.767,1.05455944382661e-29,"5","Vmp1"
"48",1.67464183238018e-40,1.5843982924067,0.921,0.409,3.19169986833339e-36,"5","Myof"
"49",9.76886824723894e-64,1.57380217358483,0.653,0.073,1.86184859924127e-59,"5","Cd14"
"50",2.61124796571605e-46,1.55859142661432,0.842,0.207,4.97677749785821e-42,"5","Onecut2"
"51",1.81572847798248e-77,1.54600687946737,0.792,0.092,3.4605969061868e-73,"5","Ajuba"
"52",3.90674941559248e-30,1.54332913494027,0.851,0.368,7.44587371117772e-26,"5","S100a10"
"53",1.52144199994245e-35,1.54231143249186,0.871,0.366,2.89971630769031e-31,"5","Anxa5"
"54",8.14640734401075e-37,1.53016613629172,0.931,0.407,1.55262377569501e-32,"5","Cd81"
"55",1.71426673715282e-36,1.52208324352327,0.881,0.331,3.26722097433956e-32,"5","Dusp4"
"56",1.87003138548736e-29,1.52056094272669,1,0.866,3.56409281760036e-25,"5","Tmsb4x"
"57",8.33342173800126e-36,1.50038716132981,0.842,0.328,1.58826684904566e-31,"5","Slc4a4"
"58",2.52384409075799e-24,1.47613983488865,0.842,0.479,4.81019445257566e-20,"5","Sat1"
"59",3.3023363877376e-32,1.47339221391223,0.95,0.604,6.29392292138909e-28,"5","Sdc1"
"60",4.77991430068761e-60,1.45067293822416,0.792,0.147,9.11003866568052e-56,"5","Mex3d"
"61",9.46762111563304e-58,1.44518327711627,0.693,0.098,1.8044339084285e-53,"5","Msn"
"62",2.73031094024775e-37,1.43918085233093,0.99,0.542,5.20369962101818e-33,"5","Mal2"
"63",3.00479501730396e-26,1.43771495035751,0.881,0.484,5.72683882347962e-22,"5","Agrn"
"64",1.12444062051138e-45,1.43193895397715,0.802,0.218,2.14307137863263e-41,"5","Tubb5"
"65",4.93970324675654e-40,1.42890023687836,0.871,0.314,9.4145804179933e-36,"5","Plp2"
"66",6.3669666386882e-64,1.42881646867686,0.703,0.084,1.21348017166758e-59,"5","Adam8"
"67",2.85773867091097e-20,1.41998516427784,0.416,0.102,5.44656413288922e-16,"5","Ccn1"
"68",1.35740620922043e-49,1.41612096167512,0.881,0.196,2.58708049415322e-45,"5","Samd5"
"69",6.87019467397352e-36,1.41342393528095,0.941,0.427,1.30939040291261e-31,"5","Bok"
"70",2.46480005596089e-63,1.41281518591859,0.564,0.046,4.69766242665586e-59,"5","Fst"
"71",1.72404297670884e-26,1.40641354585895,0.931,0.459,3.28585350930938e-22,"5","Lamc2"
"72",5.62234756902867e-89,1.40371675985762,0.693,0.042,1.07156322318117e-84,"5","Sftpd"
