"cluster","ncells","Colour","ord","shortName","realname"
"124","Ciliated epithelial cells_1",1,"#92bbb8",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"125","Ciliated epithelial cells_14",163.893259857379,"#fdbf6f",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"126","Ciliated epithelial cells_2",1,"#64a841",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"127","Ciliated epithelial cells_18",1,"#b2df8a",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"128","Ciliated epithelial cells_6",1,"#b5aa0f",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"129","Ciliated epithelial cells_13",1,"#ff7f00",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"130","Ciliated epithelial cells_16",1,"#fb9a99",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"131","Ciliated epithelial cells_9",110.91163739913,"#b15928",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"132","Ciliated epithelial cells_11",1,"#6a3d9a",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"133","Ciliated epithelial cells_15",1344.07445229257,"#e31a1c",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"134","Ciliated epithelial cells_12",1,"#cab2d6",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"135","Ciliated epithelial cells_5",1,"#eccf5a",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"136","Ciliated epithelial cells_20",1,"#a6cee3",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"137","Ciliated epithelial cells_3",1,"#e5486e",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"138","Ciliated epithelial cells_0",1,"#5f75ae",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"139","Ciliated epithelial cells_7",1,"#e4b680",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"140","Ciliated epithelial cells_10",1,"#ffff99",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"141","Ciliated epithelial cells_8",1,"#7ba39d",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"142","Ciliated epithelial cells_17",1,"#33a02c",2,"Ciliated epithelial cells","Ciliated epithelial cells"
