"","x"
"721","Acot13"
"722","Hsbp1"
"723","Rasgrp3"
"724","Ankrd40"
"725","Eid1"
"726","Zbtb7b"
"727","Ppm1a"
"728","Ndufs8"
"729","Xpo6"
"730","C2cd2l"
"731","Slco4a1"
"732","Necap2"
"733","Sra1"
"734","Vstm2b"
"735","H1f0"
"736","Hcfc1r1"
"737","Gng5"
"738","Pag1"
"739","Vat1"
"740","Dst"
"741","Trim34a"
"742","Fam234a"
"743","Bahd1"
"744","Trafd1"
"745","Gpr39"
"746","Ndufaf7"
"747","Suclg1"
"748","Agpat4"
"749","Tpp1"
"750","Gkn1"
"751","Cd24a"
"752","Tex2"
"753","Yif1b"
"754","Aldoa"
"755","Parm1"
"756","Apol7a"
"757","Plekhg6"
"758","Actn4"
"759","Itga7"
"760","Sowahb"
"761","Adgre5"
"762","S100a11"
"763","Cct6a"
"764","Ptgfrn"
"765","Atf6b"
"766","Phf2"
"767","Apoa2"
"768","Calr"
"769","Rab27a"
"770","Caskin2"
"771","Ahnak2"
"772","Scand1"
"773","Cldn12"
"774","Cmtm4"
"775","Gga2"
"776","Pcp4l1"
"777","Ppp4c"
"778","Lrtm2"
"779","Ibtk"
"780","Hspa5"
"781","Cox7a2l"
"782","Thap4"
"783","Tram1"
"784","Sypl"
"785","Asb6"
"786","Mbnl2"
"787","Prkcsh"
"788","Selenoi"
"789","Ak3"
"790","Glb1"
"791","Ndufc1"
"792","Arpc1a"
"793","Phf23"
"794","B4galt7"
"795","Enpp5"
"796","Zfp516"
"797","Cox10"
"798","Arhgap1"
"799","Tkt"
"800","Rcan1"
"801","Wdr1"
"802","Srf"
"803","Ndufv3"
"804","Slc25a13"
"805","Fbxo33"
"806","Spon2"
"807","Plxnd1"
"808","Entpd5"
"809","Glod4"
"810","Irf6"
"811","Slfn2"
"812","Ndufs2"
"813","Ywhaz"
"814","Zadh2"
"815","Ndufb10"
"816","Pxmp4"
"817","Grtp1"
"818","Gid8"
"819","Abcb6"
"820","Cpt2"
"821","Nipal3"
"822","Sipa1l3"
"823","Ppp6r1"
"824","Slc25a22"
"825","Arhgdib"
"826","Zyx"
"827","Slc35g1"
"828","Akap1"
"829","Psenen"
"830","Coa3"
"831","Ppib"
"832","Bmpr1b"
"833","Slc39a1"
"834","Chga"
"835","Cavin3"
"836","Bri3"
"837","Ephb3"
"838","Cox7a1"
"839","Galnt6"
"840","Eef1g"
"841","Myl12a"
"842","Kctd11"
"843","Lgalsl"
"844","St3gal5"
"845","Try10"
"846","Tmem151a"
"847","Ndufs5"
"848","Retreg2"
"849","Ppdpf"
"850","Alkbh5"
"851","Pkm"
"852","Cops6"
"853","Ctsz"
"854","Ankrd13a"
"855","Slc35e4"
"856","Ttll12"
"857","Bola2"
"858","Dusp18"
"859","Lamtor2"
"860","Lrrc8a"
"861","Snrnp25"
"862","Dpm3"
"863","Mansc1"
"864","Cast"
"865","Ubr4"
"866","Jpt1"
"867","Smad7"
"868","Slc33a1"
"869","Clptm1l"
"870","Ermp1"
"871","Serinc2"
"872","Foxp4"
"873","Yipf5"
"874","Taf5l"
