"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.16987732492039e-33,4.05712936240803,1,0.048,6.04146919356577e-29,"18","Col9a3"
2.93479436859356e-181,4.05580166457113,0.536,0.013,5.59342458710247e-177,"12","Ighd"
8.9940242754523e-175,4.04509610894849,0.857,0.004,1.71417108665845e-170,"18","Gnat3"
7.8090037839421e-50,4.02945233598924,0.857,0.021,1.48831803118153e-45,"18","Siglecf"
1.0208391201336e-243,4.02310440646953,0.619,0.01,1.94561727906263e-239,"12","Cd19"
9.38356601785951e-145,4.01815781592037,0.778,0.22,1.78841384734384e-140,"2","H2-Eb1"
9.91178538342404e-252,3.99084394550231,0.623,0.012,1.88908717622679e-247,"10","Clec2h"
1.32312836247875e-23,3.98949624332637,1,0.07,2.52175034604824e-19,"18","Gprc5c"
8.23455326326935e-168,3.97631326675723,0.652,0.015,1.56942350644651e-163,"16","Clec4e"
6.37249604174703e-217,3.96876084309958,0.874,0.184,1.21453402059657e-212,"2","Ctss"
1.01687252628603e-179,3.96132293350699,0.962,0.493,1.93805734784854e-175,"0","Muc5ac"
1.56063643199644e-82,3.94568513922841,0.909,0.285,2.97441697574202e-78,"7","Agr2"
3.97934061853577e-24,3.94109086264513,1,0.07,7.58422528486732e-20,"18","Pik3r5"
6.20366989015709e-108,3.92815451811871,0.806,0.301,1.18235744436504e-103,"0","Clca1"
2.37650304692376e-213,3.92479242961099,0.619,0.014,4.52937715713199e-209,"12","Cd79a"
5.33721277487593e-174,3.92432233945822,0.967,0.052,1.0172193827636e-169,"14","Scara5"
2.79285183998764e-21,3.91321090105061,0.37,0.054,5.32289632183244e-17,"16","G0s2"
2.01557976260187e-141,3.90649825689885,0.889,0.389,3.84149346954291e-137,"2","Cd74"
2.87592185100719e-83,3.90128060973229,0.696,0.047,5.48121945583461e-79,"16","Cd300lf"
1.12847009397292e-171,3.89967549818647,0.929,0.083,2.15075115210299e-167,"9","Esrrg"
4.50411539575615e-55,3.8970762278378,0.36,0.027,8.58439353277164e-51,"13","Lyve1"
6.68045581618377e-135,3.89081213208527,0.689,0.056,1.27322807400647e-130,"10","S100g"
1.14116173789513e-204,3.8874187477088,0.52,0.007,2.17494015625433e-200,"13","Cldn5"
4.90944140398747e-40,3.88257000258363,1,0.038,9.35690437185972e-36,"18","Alox5"
1.00072942481921e-100,3.88184926256892,0.348,0.006,1.90729021076293e-96,"16","Acod1"
1.27511946597861e-86,3.85974417046811,0.623,0.08,2.43025019020864e-82,"10","Fabp2"
4.63536562406438e-128,3.85439055591747,0.719,0.205,8.83454334290431e-124,"2","H2-Ab1"
4.05369919561194e-21,3.85320983636331,0.274,0.055,7.7259452969168e-17,"10","Slc28a2"
1.03244488539636e-261,3.83721247196431,0.594,0.008,1.96773670707692e-257,"10","Sult6b2"
1.20623030882716e-227,3.82622250138802,0.736,0.027,2.29895434559369e-223,"10","Vdr"
1.11876022983574e-89,3.79198175480935,0.933,0.175,2.13224512204394e-85,"11","Igfbp6"
3.6012129237309e-70,3.78440444199199,0.978,0.948,6.86355171133873e-66,"6","Pgc"
5.36739343402528e-71,3.77619624915448,1,0.473,1.02297151459088e-66,"9","Slc4a2"
2.02285814229836e-06,3.77189635167713,1,0.393,0.0385536533340645,"18","Krt18"
1.40535100880813e-09,3.7695904098348,1,0.213,2.67845848768741e-05,"18","Kctd12"
2.08516853597562e-74,3.7586684235383,0.993,0.877,3.97412271271593e-70,"6","Clps"
4.51811472523571e-192,3.74332538585802,0.642,0.025,8.61107485482673e-188,"10","Ggt1"
6.317933979511e-210,3.71965772062001,0.67,0.024,1.204135037155e-205,"10","Slc5a1"
2.28046647124333e-205,3.71122094669481,0.548,0.01,4.34634104754267e-201,"12","Pax5"
9.45771269054577e-25,3.7015310009177,1,0.066,1.80254546169112e-20,"18","Ltc4s"
1.73445744787701e-193,3.7002190236317,0.547,0.01,3.30570244990879e-189,"13","Flt4"
3.83323585620849e-38,3.69151391818881,0.755,0.336,7.30576421834777e-34,"10","Xdh"
6.60820712110169e-18,3.69074964990797,1,0.096,1.25945819521077e-13,"18","Alox5ap"
1.42173756614111e-39,3.6821340400256,0.33,0.044,2.70968962730834e-35,"10","Reg3b"
7.78550003928259e-110,3.68181757590191,0.921,0.137,1.48383845248687e-105,"11","Syne1"
5.69435499058309e-207,3.67872883839254,0.745,0.034,1.08528711765523e-202,"10","Mlxipl"
1.79181574535065e-214,3.66267043160759,0.782,0.142,3.4150216290638e-210,"1","Sfrp1"
1.87760812259131e-158,3.65447176589072,0.4,0.006,3.57853332084677e-154,"13","Mmrn1"
2.25927155227541e-68,3.65423431742075,0.826,0.088,4.30594565148171e-64,"16","Lilrb4a"
2.31088784573839e-63,3.6503355517241,0.613,0.112,4.4043211451928e-59,"10","Cyp3a13"
9.14129266576867e-294,3.65026245153489,0.925,0.012,1.74223896916885e-289,"17","Celf3"
3.11195482462685e-76,3.64934142515246,0.857,0.013,5.93107470025632e-72,"18","Dgki"
4.04023650306619e-37,3.64394272505161,1,0.633,7.70028675119384e-33,"14","Gsn"
2.90496465475849e-143,3.63747865041566,0.857,0.006,5.53657213550421e-139,"18","Hmx3"
1.87392109872132e-194,3.63599122023865,1,0.005,3.57150622205297e-190,"18","Pou2f3"
5.7712155200606e-229,3.62598317803393,0.566,0.01,1.09993596596835e-224,"10","Clec2e"
1.11685934250631e-27,3.62467184274438,0.275,0.019,2.12862222088277e-23,"17","Sncg"
1.09758231074135e-85,3.60630256777575,0.955,0.205,2.09188212604194e-81,"11","Thbd"
1.33247805948368e-06,3.60451310794488,1,0.45,0.0253956993356994,"18","Aldh2"
1.36688632890489e-66,3.60054289031042,0.857,0.015,2.60514865425983e-62,"18","Nrgn"
1.53008074526329e-240,3.58246238364654,0.631,0.011,2.91618089239731e-236,"12","Cd79b"
1.93861031398501e-199,3.57980371284828,1,0.974,3.69479739742403e-195,"0","Tff1"
6.42006168068413e-221,3.56974073832315,0.905,0.231,1.22359955572159e-216,"0","Psapl1"
3.10872605432762e-17,3.56614357852313,0.63,0.218,5.92492098694301e-13,"16","Dusp1"
9.29192969704196e-84,3.55933630193091,0.543,0.026,1.77094888095923e-79,"16","Nlrp3"
4.48424281917717e-231,3.54997866891743,0.977,0.382,8.54651838906977e-227,"0","Mucl3"
2.28128366373572e-153,3.5465254085449,0.867,0.058,4.3478985347139e-149,"13","Pecam1"
5.11669413457951e-05,3.54284720116149,0.714,0.205,0.975190735109509,"18","Gclc"
1.33706341943605e-70,3.53994447774417,0.528,0.066,2.54830917110317e-66,"10","Tm4sf4"
2.64266080425283e-36,3.53987320764182,1,0.042,5.03664722682546e-32,"18","Matk"
4.60516590589538e-56,3.53845555918286,0.88,0.651,8.776985700046e-52,"4","Clu"
4.47467345440278e-38,3.52410216486433,0.696,0.116,8.52828013674626e-34,"16","Tnfaip2"
1.3591121793688e-39,3.5204144027438,0.45,0.037,2.59033190265899e-35,"17","Pnliprp1"
5.03523130977242e-110,3.51981843654506,0.476,0.023,9.59664735329526e-106,"12","H2-Ob"
1.12296927559843e-131,3.51459346528321,0.674,0.023,2.14026714236304e-127,"16","Clec4d"
4.47853656378282e-29,3.48389986724572,0.491,0.144,8.53564283691368e-25,"10","Slc11a2"
9.8724342961874e-13,3.48348844994729,1,0.149,1.88158725251036e-08,"18","Fyb"
9.89855079191609e-66,3.4775489758771,0.764,0.173,1.88656479543129e-61,"10","Pigr"
6.56470559567321e-70,3.46843136449896,0.739,0.068,1.25116723947936e-65,"16","Slc15a3"
1.34190207772808e-48,3.46012143921903,0.478,0.038,2.55753116994194e-44,"16","Ptgs2"
6.65361106209821e-167,3.45228790705553,0.597,0.032,1.2681117323253e-162,"8","Myom1"
2.97323917862371e-227,3.45032845282318,0.89,0.165,5.66669655053894e-223,"0","Gsdma2"
1.46948424491421e-43,3.44994048533909,0.679,0.224,2.80069002238199e-39,"10","Papss2"
1.04396388078295e-228,3.44623088830031,0.644,0.051,1.98969076038422e-224,"2","Csf1r"
3.67175853601183e-35,3.43908917759233,0.717,0.142,6.99800459378495e-31,"16","Smox"
3.48081888845881e-96,3.43874983384797,0.533,0.033,6.63409271951366e-92,"13","Plvap"
9.79774389653598e-09,3.42878510309867,1,0.266,0.000186735200924079,"18","Ptpn18"
1.61053842175802e-232,3.42682480180069,0.793,0.067,3.0695251780286e-228,"3","Gpm6a"
0,3.42551893425029,0.944,0.121,0,"0","Capn8"
4.0701278589887e-245,3.42441528764082,0.575,0.009,7.75725668644657e-241,"10","Slc30a10"
1.19487542194499e-32,3.42393711893691,0.848,0.229,2.27731306668496e-28,"16","Cd44"
