"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Tut1",NA,"1.047","4.670","1.282"
"Eef1g",NA,"0.258","2.877","0.899"
"Scgb1a1",NA,"0.701","0.698","3.429"
"Asrgl1",NA,"1.753","2.420","3.274"
"Incenp",NA,"1.142","1.710","2.546"
"Best1",NA,"-0.269","0.412","-1.320"
"Rab3il1",NA,"-0.687","1.383","-1.832"
"Fads3",NA,"0.195","8.555","0.186"
"Fads2",NA,"0.732","2.240","1.236"
"Fads1",NA,"-0.391","1.093","-1.260"
"Fen1",NA,"0.272","0.268","1.332"
"Tmem258",NA,"-0.797","3.349","-1.096"
"Dagla",NA,"-1.245e-02","1.834","-2.545e-02"
"Syt7",NA,"-0.286","4.297","-0.345"
"Lrrc10b",NA,"-0.352","1.416","-0.905"
"Ppp1r32",NA,"1.620e-02","5.853e-02","7.994e-02"
"Sdhaf2",NA,"0.531","2.030","0.971"
"Cpsf7",NA,"-1.001","4.153","-1.288"
"Tmem216",NA,"-0.714","0.942","-2.671"
"Tmem138",NA,"9.061e-02","0.385","0.441"
"Cyb561a3",NA,"0.273","1.305","0.792"
"Tkfc",NA,"0.643","0.418","3.170"
"Ddb1",NA,"0.401","0.477","1.952"
"Vwce",NA,"1.620e-02","5.853e-02","7.994e-02"
"Pga5",NA,"1.139","9.507","1.048"
"Vps37c",NA,"-4.523e-02","3.078","-6.322e-02"
"Slc15a3",NA,"-0.239","1.462","-0.626"
"Tmem132a",NA,"0.152","2.222","0.266"
"Tmem109",NA,"6.274e-02","2.055","0.114"
"Prpf19",NA,"0.456","3.701","0.562"
"Ccdc86",NA,"0.105","1.612","0.239"
"Ms4a10",NA,"0.515","0.209","2.551"
"Ms4a8a",NA,"0.153","3.979","0.185"
"Ms4a12",NA,"1.620e-02","5.853e-02","7.994e-02"
"Ms4a14",NA,"1.620e-02","5.853e-02","7.994e-02"
"Ms4a7",NA,"-0.850","1.619","-2.017"
"Ms4a4a",NA,"-1.686","2.179","-3.798"
"Ms4a6c",NA,"-0.300","0.914","-1.042"
"Ms4a6b",NA,"1.011","0.907","3.922"
"Ms4a4d",NA,"-0.336","0.410","-1.645"
"Ms4a6d",NA,"0.701","0.698","3.429"
"Stx3",NA,"0.362","2.354","0.607"
"Olfr1419",NA,"0.250","1.110","0.883"
"Patl1",NA,"0.157","5.000","0.175"
"Osbp",NA,"0.771","7.452","0.775"
"Olfr1431",NA,"0.701","0.698","3.429"
"Olfr1432",NA,"0.701","0.698","3.429"
"Olfr1434",NA,"0.701","0.698","3.429"
"Olfr1436",NA,"0.701","0.698","3.429"
"Mpeg1",NA,"-0.953","3.583","-1.281"
"Dtx4",NA,"-0.463","2.598","-0.722"
"Fam111a",NA,"0.401","0.477","1.952"
"Cntf",NA,"0.643","0.418","3.170"
"Zfp91",NA,"0.655","5.732","0.710"
"Lpxn",NA,"-0.429","0.588","-2.029"
"Olfr1446",NA,"0.701","0.698","3.429"
"Olfr1487",NA,"0.701","0.698","3.429"
"Olfr1489",NA,"0.701","0.698","3.429"
"Olfr1497",NA,"0.701","0.698","3.429"
"Tle4",NA,"0.125","1.096","0.416"
"Psat1",NA,"-7.524e-03","0.502","-3.658e-02"
"Cep78",NA,"-9.948e-02","1.508","-0.242"
"Gnaq",NA,"-0.969","5.514","-1.144"
"Gna14",NA,"-0.429","0.588","-2.029"
"Vps13a",NA,"0.738","2.329","1.245"
"Foxb2",NA,"0.701","0.698","3.429"
"Prune2",NA,"0.272","0.268","1.332"
"Gcnt1",NA,"-0.105","1.345","-0.295"
"Rfk",NA,"-1.742","8.257","-1.857"
"Pcsk5",NA,"0.615","1.735","1.333"
"Ostf1",NA,"-0.236","3.173","-0.335"
"Nmrk1",NA,"0.515","0.209","2.551"
"Carnmt1",NA,"-9.305e-02","0.117","-0.458"
"Trpm6",NA,"0.515","0.209","2.551"
"Anxa1",NA,"0.803","2.270","1.385"
"Aldh1a1",NA,"-0.411","6.516","-0.437"
"Aldh1a7",NA,"0.309","0.874","1.216"
"Zfand5",NA,"-1.351","6.065","-1.612"
"Gda",NA,"1.033","1.769","2.232"
"Abhd17b",NA,"-0.462","2.437","-0.809"
"Cemip2",NA,"0.179","2.428","0.290"
"Klf9",NA,"-0.834","8.208","-0.834"
"Smc5",NA,"0.744","3.230","0.979"
"Ptar1",NA,"-0.967","6.155","-1.128"
"Apba1",NA,"-0.382","0.530","-1.861"
"Fam189a2",NA,"0.104","1.877","0.213"
"Tjp2",NA,"-0.993","7.095","-1.050"
"Fxn",NA,"-0.691","0.881","-2.653"
"Pip5k1b",NA,"-0.573","3.056","-0.822"
"Fam122a",NA,"-0.463","2.598","-0.722"
"Pgm5",NA,"-7.524e-03","0.502","-3.658e-02"
"Cbwd1",NA,"1.707","2.676","2.741"
"Dock8",NA,"0.397","1.763","0.824"
"Kank1",NA,"0.322","1.246","0.969"
"Smarca2",NA,"6.274e-02","2.055","0.114"
"Vldlr",NA,"0.131","1.049","0.463"
"Pum3",NA,"1.177","2.968","1.694"
"Rfx3",NA,"-0.262","1.299","-0.718"
"Glis3",NA,"0.936","2.083","1.841"
"Plpp6",NA,"-0.617","2.330","-1.064"
"Cdc37l1",NA,"1.304","10.555","1.152"
"Ak3",NA,"-0.540","9.436","-0.500"
"Rcl1",NA,"-0.165","0.176","-0.811"
"Jak2",NA,"0.543","4.714","0.650"
"Insl6",NA,"0.701","0.698","3.429"
"Plgrkt",NA,"-1.964","4.585","-2.838"
"Cd274",NA,"1.620e-02","5.853e-02","7.994e-02"
"Pdcd1lg2",NA,"-0.269","0.412","-1.320"
"Ric1",NA,"-0.255","4.391","-0.313"
"Ranbp6",NA,"-8.697e-02","0.619","-0.401"
"Il33",NA,"0.663","2.849","0.978"
"Uhrf2",NA,"-6.337e-02","5.072","-7.079e-02"
"Gldc",NA,"-0.397","1.031","-1.284"
"Prkg1",NA,"0.272","0.268","1.332"
"Cstf2t",NA,"0.105","2.825","0.149"
"A1cf",NA,"1.620e-02","5.853e-02","7.994e-02"
"Asah2",NA,"-0.482","0.647","-2.177"
"Sgms1",NA,"-0.178","0.736","-0.756"
"Minpp1",NA,"-0.245","3.148","-0.336"
"Papss2",NA,"-1.230","6.386","-1.511"
"Atad1",NA,"6.413e-02","2.720","9.885e-02"
"Pten",NA,"0.628","7.022","0.650"
"Lipo3",NA,"0.163","0.326","0.795"
"Lipn",NA,"0.701","0.698","3.429"
"Ankrd22",NA,"0.272","0.268","1.332"
"Stambpl1",NA,"1.389","4.804","1.699"
"Acta2",NA,"-0.677","6.375","-0.769"
"Fas",NA,"-0.219","0.234","-1.076"
"Ch25h",NA,"-0.165","0.176","-0.811"
"Lipa",NA,"-0.181","2.068","-0.336"
"Ifit2",NA,"0.332","1.437","0.837"
"Ifit3",NA,"-9.305e-02","0.117","-0.458"
"Ifit1bl1",NA,"-1.135","3.190","-1.839"
"Ifit3b",NA,"-0.382","0.530","-1.861"
"Ifit1",NA,"0.243","0.932","0.920"
"Pank1",NA,"-7.524e-03","0.502","-3.658e-02"
"Kif20b",NA,"0.272","0.268","1.332"
"Rpp30",NA,"-0.828","1.059","-2.856"
"Ankrd1",NA,"0.701","0.698","3.429"
"Pcgf5",NA,"-0.162","2.632","-0.247"
"Hectd2",NA,"0.506","0.756","2.164"
"Ppp1r3c",NA,"1.138","1.454","3.240"
"Tnks2",NA,"0.431","4.339","0.507"
"Fgfbp3",NA,"0.858","1.886","1.743"
"Btaf1",NA,"0.536","0.686","2.360"
"Cpeb3",NA,"0.456","2.753","0.676"
"March5",NA,"-1.100","2.093","-2.291"
"Ide",NA,"0.326","3.792","0.415"
"Kif11",NA,"0.908","0.837","3.960"
"Hhex",NA,"-0.269","0.412","-1.320"
"Exoc6",NA,"0.226","0.594","1.061"
"Cyp26a1",NA,"0.701","0.698","3.429"
"Myof",NA,"0.156","5.921","0.180"
"Cep55",NA,"0.515","0.209","2.551"
"Ffar4",NA,"-9.305e-02","0.117","-0.458"
"Rbp4",NA,"3.622e-02","0.443","0.176"
"Fra10ac1",NA,"1.275","4.316","1.556"
"Slc35g1",NA,"-0.225","6.106","-0.243"
"Plce1",NA,"-0.603","3.956","-0.753"
"Noc3l",NA,"-0.165","0.176","-0.811"
"Tbc1d12",NA,"-7.376e-02","1.065","-0.233"
"Hells",NA,"0.710","1.843","1.486"
"Cyp2c65",NA,"-0.818","8.708","-0.847"
"Cyp2c38",NA,"0.701","0.698","3.429"
"Cyp2c50",NA,"0.701","0.698","3.429"
"Sorbs1",NA,"8.606e-03","4.773","1.035e-02"
"Aldh18a1",NA,"0.577","3.304","0.744"
"Tctn3",NA,"1.595","2.746","2.627"
"Entpd1",NA,"0.612","2.073","1.190"
"Ccnj",NA,"0.794","1.855","1.620"
"Zfp518a",NA,"0.432","0.744","1.820"
"Blnk",NA,"0.251","1.495","0.607"
"Tm9sf3",NA,"-0.773","9.534","-0.788"
"Pik3ap1",NA,"-0.790","2.063","-1.528"
"Lcor",NA,"0.229","7.163","0.232"
"Arhgap19",NA,"0.536","0.686","2.360"
"Frat1",NA,"0.261","0.920","0.974"
"Frat2",NA,"1.620e-02","5.853e-02","7.994e-02"
"Exosc1",NA,"1.496","1.861","3.156"
"Zdhhc16",NA,"0.426","1.911","0.848"
"Mms19",NA,"0.187","1.938","0.356"
"Ubtd1",NA,"-7.524e-03","0.502","-3.658e-02"
"Hoga1",NA,"-0.429","0.588","-2.029"
"Morn4",NA,"0.515","0.209","2.551"
"Pi4k2a",NA,"0.961","3.031","1.360"
"Avpi1",NA,"6.222e-02","1.598","0.153"
"Marveld1",NA,"0.199","4.484","0.228"
"Zfyve27",NA,"-0.434","5.230","-0.507"
"Sfrp5",NA,"-9.305e-02","0.117","-0.458"
"R3hcc1l",NA,"0.104","1.877","0.213"
"Loxl4",NA,"9.513e-02","0.769","0.393"
"Pyroxd2",NA,"0.701","0.698","3.429"
"Hps1",NA,"-8.191e-02","1.004","-0.289"
"Got1",NA,"-0.335","8.407","-0.322"
"Slc25a28",NA,"-9.830e-02","4.523","-0.114"
"Entpd7",NA,"-0.313","5.838","-0.344"
"Cox15",NA,"-0.180","2.512","-0.287"
"Cutc",NA,"0.390","0.815","1.599"
"Dnmbp",NA,"0.834","6.861","0.848"
"Cpn1",NA,"-0.193","6.455","-0.221"
"Cyp2c23",NA,"-0.165","0.176","-0.811"
"Erlin1",NA,"0.667","10.089","0.600"
"Chuk",NA,"-0.199","5.586","-0.217"
"Cwf19l1",NA,"0.226","0.594","1.061"
"Bloc1s2",NA,"0.200","1.985","0.382"
"Pkd2l1",NA,"1.400","1.396","4.474"
"Scd2",NA,"0.964","2.806","1.427"
"Scd1",NA,"-0.277","1.862","-0.570"
"Sec31b",NA,"0.354","2.664","0.570"
"Hif1an",NA,"0.690","2.015","1.375"
"Slf2",NA,"1.553","4.183","1.998"
"Sema4g",NA,"1.118","2.036","2.154"
"Twnk",NA,"0.689","1.587","1.624"
"Pdzd7",NA,"0.219","0.979","0.789"
"Sfxn3",NA,"-0.113","4.880","-0.136"
"Kazald1",NA,"-0.263","0.293","-1.289"
"Btrc",NA,"0.219","0.979","0.789"
"Poll",NA,"-0.219","0.234","-1.076"
"Fbxw4",NA,"0.243","0.932","0.920"
"Npm3",NA,"0.941","1.827","1.977"
"Oga",NA,"0.250","6.422","0.261"
"Armh3",NA,"0.547","1.083","1.738"
"Hps6",NA,"0.786","0.966","2.696"
"Ldb1",NA,"-0.469","9.620","-0.441"
