"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Mvd","1.000","0.231","2.387","0.409"
"Snai3","1.000","0.989","1.062","3.499"
"Rnf166","1.000","0.776","4.005","1.084"
"Ctu2","1.000","0.202","3.932","0.280"
"Piezo1","1.000","-0.193","3.547","-0.300"
"Cdt1","1.000","-1.928","5.054","-2.664"
"Galns","1.000","0.395","0.918","1.445"
"Trappc2l","1.000","0.228","4.416","0.291"
"Cbfa2t3","1.000","-1.564","3.326","-2.779"
"Acsf3","1.000","-0.263","2.122","-0.498"
"Ankrd11","1.000","0.548","10.881","0.479"
"Spg7","1.000","-0.152","12.516","-0.122"
"Sult5a1","1.000","-0.304","0.241","-1.516"
"Chmp1a","1.000","-0.607","4.457","-0.777"
"Cdk10","1.000","-0.310","2.919","-0.520"
"Spata2l","1.000","2.859e-02","0.530","0.142"
"Vps9d1","1.000","0.834","2.774","1.408"
"Zfp276","1.000","0.536","5.648","0.613"
"Fanca","1.000","-0.517","7.595","-0.550"
"Spire2","1.000","-0.285","5.331","-0.334"
"Tcf25","1.000","0.373","33.642","0.256"
"Def8","1.000","7.810e-02","1.086","0.249"
"Afg3l1","1.000","0.458","9.595","0.444"
"Gas8","1.000","-4.059e-02","1.977","-7.979e-02"
"Rhou","1.000","0.411","3.740","0.569"
"Rab4a","1.000","0.369","3.761","0.516"
"Ccsap","1.000","-0.444","1.809","-1.005"
"Nup133","1.000","-0.658","3.832","-0.953"
"Abcb10","1.000","-0.269","1.711","-0.592"
"Taf5l","1.000","-0.556","2.289","-1.025"
"Urb2","1.000","-0.532","4.964","-0.701"
"Galnt2","1.000","0.395","14.711","0.302"
"Cog2","1.000","0.276","3.983","0.387"
"Capn9","1.000","0.425","0.387","2.091"
"Ttc13","1.000","-0.443","2.410","-0.785"
"Arv1","1.000","0.629","2.389","1.127"
"Trim67","1.000","-0.304","0.241","-1.516"
"Gnpat","1.000","0.276","7.649","0.270"
"Exoc8","1.000","0.322","4.079","0.434"
"Sprtn","1.000","0.297","1.929","0.599"
