"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Pdxdc1","1.000","5.145e-02","2.523","0.103"
"Mpv17l","1.000","-1.219","1.336","-3.545"
"Marf1","1.000","-0.226","3.900","-0.359"
"Nde1","1.000","0.548","0.688","2.013"
"Myh11","1.000","-1.746e-04","0.281","-8.491e-04"
"Fopnl","1.000","0.146","3.072","0.256"
"Abcc1","1.000","0.718","1.963","1.629"
"Snai2","1.000","-0.425","0.508","-1.975"
"Ube2v2","1.000","-0.261","1.822","-0.598"
"Mcm4","1.000","-0.136","7.986e-02","-0.671"
"Prkdc","1.000","0.246","0.928","0.798"
"Mzt2","1.000","-0.562","1.311","-1.483"
"Cebpd","1.000","-0.528","1.701","-1.270"
"Spidr","1.000","-0.562","1.311","-1.483"
"Pkp2","1.000","0.229","0.525","0.931"
"Yars2","1.000","0.229","0.525","0.931"
"Dnm1l","1.000","-0.294","3.351","-0.523"
"Fgd4","1.000","6.939e-02","5.406","9.563e-02"
"Top3b","1.000","0.230","6.291","0.300"
"Ppm1f","1.000","0.147","0.605","0.564"
"Mapk1","1.000","-0.302","5.321","-0.458"
"Ppil2","1.000","-0.413","1.714","-0.980"
"Sdf2l1","1.000","-0.628","6.252","-0.836"
"Ccdc116","1.000","0.358","0.122","1.767"
"Ydjc","1.000","-0.172","1.113","-0.485"
"Ube2l3","1.000","0.244","1.825","0.547"
"Rimbp3","1.000","0.472","0.243","2.326"
"Hic2","1.000","-0.421","0.399","-2.064"
"Tmem191c","1.000","0.186","14.671","0.180"
"Pi4ka","1.000","-0.448","4.250","-0.738"
"Snap29","1.000","-0.472","1.621","-1.163"
"Aifm3","1.000","-0.440","1.151","-1.221"
"Lztr1","1.000","5.831e-02","3.808","0.101"
"Thap7","1.000","0.128","1.998","0.284"
"Lrrc74b","1.000","0.358","0.122","1.767"
"P2rx6","1.000","-0.136","7.986e-02","-0.671"
"Slc7a4","1.000","0.498","8.253","0.598"
"Smpd4","1.000","-0.285","1.164","-0.841"
"Med15","1.000","4.440e-03","3.312","7.587e-03"
"Klhl22","1.000","-0.173","1.004","-0.540"
"Car15","1.000","1.218e-02","1.155","3.429e-02"
"Dgcr2","1.000","-5.904e-02","7.455","-7.189e-02"
"Tssk1","1.000","-0.248","0.160","-1.220"
"Tssk2","1.000","0.358","0.122","1.767"
"Ess2","1.000","0.845","3.129","1.621"
"Slc25a1","1.000","-0.445","2.075","-0.979"
"Dgcr6","1.000","0.479","2.001","1.064"
"Prodh","1.000","0.588","13.089","0.579"
"Rtn4r","1.000","0.358","0.122","1.767"
"Zdhhc8","1.000","-0.215","0.802","-0.735"
"Ranbp1","1.000","0.262","3.303","0.450"
"Trmt2a","1.000","-0.328","3.967","-0.522"
"Dgcr8","1.000","-0.203","2.347","-0.422"
"Tango2","1.000","0.135","1.478","0.341"
"Arvcf","1.000","-0.248","0.160","-1.220"
"Comt","1.000","-0.558","1.419","-1.465"
"Txnrd2","1.000","-0.377","2.667","-0.738"
"Sept5","1.000","0.123","0.403","0.558"
"Ufd1","1.000","0.229","6.846","0.288"
"Hira","1.000","-0.727","2.852","-1.421"
"Iglc1","1.000","-0.425","0.508","-1.975"
"Olfr167","1.000","0.718","0.713","2.936"
"B3gnt5","1.000","0.358","0.122","1.767"
"Klhl6","1.000","-0.580","0.588","-2.322"
"Klhl24","1.000","0.633","1.737","1.607"
"Yeats2","1.000","-0.626","1.029","-1.829"
"Parl","1.000","0.112","0.202","0.549"
"Abcc5","1.000","1.313","4.285","2.424"
"Eif2b5","1.000","1.132","7.245","1.531"
"Dvl3","1.000","-0.593","4.006","-1.002"
"Ap2m1","1.000","0.159","2.590","0.301"
"Abcf3","1.000","0.117","1.087","0.355"
"Alg3","1.000","-1.746e-04","0.281","-8.491e-04"
"Eef1akmt4","1.000","0.123","0.403","0.558"
"Camk2n2","1.000","-0.486","0.479","-2.260"
"Psmd2","1.000","2.716e-02","3.458","4.640e-02"
"Eif4g1","1.000","-0.533","3.238","-0.988"
"Clcn2","1.000","-0.613","1.969","-1.476"
"Polr2h","1.000","-6.144e-02","1.327","-0.172"
"Chrd","1.000","0.358","0.122","1.767"
"Teddm3","1.000","-0.486","0.479","-2.260"
"Ephb3","1.000","-0.138","3.796","-0.234"
"Vps8","1.000","0.629","2.043","1.392"
"Ehhadh","1.000","7.841e-02","0.684","0.286"
"Map3k13","1.000","-0.363","1.634","-0.877"
"Tmem41a","1.000","-0.841","0.828","-2.899"
"Liph","1.000","-0.632","1.861","-1.461"
"Senp2","1.000","0.426","3.089","0.795"
"Igf2bp2","1.000","0.117","2.645","0.230"
"Tra2b","1.000","-0.562","3.175","-1.036"
"Etv5","1.000","-0.722","0.719","-2.842"
"Dgkg","1.000","0.112","0.202","0.549"
"Tbccd1","1.000","0.123","0.403","0.558"
"Dnajb11","1.000","0.127","5.688","0.181"
"Eif4a2","1.000","0.116","36.482","8.822e-02"
"Rfc4","1.000","-0.321","0.240","-1.580"
"Adipoq","1.000","-0.136","7.986e-02","-0.671"
"St6gal1","1.000","-0.136","7.986e-02","-0.671"
"Rtp4","1.000","0.216","1.435","0.561"
"Sst","1.000","1.183","76.901","2.922"
"Bcl6","1.000","-1.115","1.777","-2.681"
"Lpp","1.000","-2.002e-02","5.066","-2.911e-02"
"Tprg","1.000","0.358","0.122","1.767"
"Il1rap","1.000","0.472","0.243","2.326"
"Ccdc50","1.000","0.612","3.844","0.992"
"Atp13a4","1.000","0.358","0.122","1.767"
"Opa1","1.000","-0.306","1.272","-0.814"
"Hes1","1.000","-0.778","5.728","-1.075"
"Atp13a3","1.000","-7.754e-03","6.423","-1.007e-02"
"Lsg1","1.000","-6.790e-02","3.190","-0.118"
"Fam43a","1.000","-0.262","3.417","-0.441"
"Xxylt1","1.000","0.337","1.049","1.038"
