"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Cul9","1.000","-3.393e-02","0.740","-0.105"
"Srf","1.000","-3.591e-02","9.430","-4.496e-02"
"Ptk7","1.000","-1.643e-02","0.283","-7.936e-02"
"Klc4","1.000","1.110","33.458","0.943"
"Cul7","1.000","0.523","1.709","1.160"
"Klhdc3","1.000","-0.622","5.905","-0.912"
"Mea1","1.000","-0.286","10.856","-0.344"
"Ppp2r5d","1.000","0.584","5.623","0.840"
"Pex6","1.000","0.277","11.809","0.303"
"Gnmt","1.000","0.304","1.366","0.727"
"Cnpy3","1.000","-1.028","7.771","-1.401"
"Bicral","1.000","-0.761","2.376","-1.524"
"Tbcc","1.000","-3.773e-02","7.207","-4.940e-02"
"Ubr2","1.000","-0.488","7.768","-0.659"
"Guca1b","1.000","0.203","0.113","0.992"
"Guca1a","1.000","0.166","0.171","0.809"
"AI661453","1.000","-0.556","20.840","-0.583"
"Taf8","1.000","0.286","8.516","0.343"
"Ccnd3","1.000","0.552","8.005","0.675"
"Bysl","1.000","4.398e-02","6.921","5.747e-02"
"Med20","1.000","1.031","12.211","1.097"
"Usp49","1.000","0.255","4.821","0.394"
"Tomm6","1.000","-0.455","22.246","-0.437"
"Prickle4","1.000","1.833","3.519","3.438"
"Frs3","1.000","1.400","3.288","2.661"
"Pgc","1.000","-8.811e-02","9327.983","-0.160"
"Tfeb","1.000","9.037e-02","7.603","0.114"
"Mdfi","1.000","8.739e-02","0.566","0.321"
"Foxp4","1.000","-0.258","33.711","-0.226"
"Treml4","1.000","0.784","0.172","3.859"
"Treml2","1.000","0.784","0.172","3.859"
"Trem2","1.000","0.118","0.169","0.576"
"Nfya","1.000","-0.291","4.658","-0.456"
"Oard1","1.000","-3.666e-02","8.297","-4.713e-02"
"Tspo2","1.000","-6.475e-02","0.341","-0.312"
"Unc5cl","1.000","0.329","5.627e-02","1.621"
"Mocs1","1.000","6.243e-02","7.719","7.886e-02"
"Rftn1","1.000","0.329","5.627e-02","1.621"
"Plcl2","1.000","1.400","5.150","2.307"
"Tbc1d5","1.000","0.261","2.790","0.485"
"Satb1","1.000","0.203","0.113","0.992"
"Kcnh8","1.000","-0.132","0.397","-0.563"
"Rab5a","1.000","-0.255","14.647","-0.266"
"Kat2b","1.000","-0.151","0.851","-0.432"
"Sgo1","1.000","0.166","0.171","0.809"
"Sult1c2","1.000","-0.153","42.675","-0.133"
"St6gal2","1.000","-0.349","2.040","-0.728"
"Pot1b","1.000","0.118","0.169","0.576"
"Adgre4","1.000","0.392","0.342","1.800"
"Zfp119a","1.000","0.124","0.569","0.423"
"Zfp959","1.000","0.118","0.169","0.576"
"Zfp119b","1.000","0.329","5.627e-02","1.621"
"Yju2","1.000","-0.355","2.556","-0.682"
"Stap2","1.000","0.139","9.759","0.161"
"Mpnd","1.000","-0.424","13.463","-0.484"
"Sh3gl1","1.000","0.149","10.100","0.171"
"Chaf1a","1.000","0.166","0.171","0.809"
"Ubxn6","1.000","-0.238","14.531","-0.248"
"Hdgfl2","1.000","0.211","14.358","0.218"
"Plin4","1.000","-0.631","7.999","-0.834"
"Plin5","1.000","0.258","1.422","0.607"
"Lrg1","1.000","0.273","1.424","0.648"
"Sema6b","1.000","0.532","0.228","2.597"
